threat_id,user_id,threat_type,severity,confidence,evidence,first_observed,last_observed,related_hostname,related_alert_count,recommended_action
THR00382,EMP10925,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-10925) within 24 hours,2026-08-24 22:36:35,2026-08-25 04:28:17,vdr-10925,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00383,EMP11024,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (lpt-11024) within 24 hours,2026-08-09 09:55:27,2026-08-10 04:47:25,lpt-11024,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00384,EMP11028,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (lpt-11028) within 24 hours,2026-08-02 12:47:19,2026-08-03 02:35:28,lpt-11028,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00386,EMP11155,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-11155) within 24 hours,2026-08-20 13:11:16,2026-08-20 20:48:11,vdr-11155,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00387,EMP11210,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-11210) within 24 hours,2026-08-28 00:00:00,2026-08-28 19:19:46,vdr-11210,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00388,EMP11278,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (lpt-11278) within 24 hours,2026-08-20 17:15:00,2026-08-21 00:00:00,lpt-11278,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00389,EMP11347,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-11347) within 24 hours,2026-08-14 16:46:08,2026-08-15 00:00:00,ws-11347,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00391,EMP11483,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (lpt-11483) within 24 hours,2026-09-04 07:26:27,2026-09-04 09:00:31,lpt-11483,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00392,EMP11511,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (lpt-11511) within 24 hours,2026-09-05 07:29:11,2026-09-05 10:08:56,lpt-11511,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00393,EMP11841,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (lpt-11841) within 24 hours,2026-08-01 16:20:21,2026-08-02 09:42:10,lpt-11841,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00394,EMP11865,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-11865) within 24 hours,2026-08-01 07:21:22,2026-08-01 17:08:00,ws-11865,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00395,EMP12140,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-12140) within 24 hours,2026-09-01 16:52:00,2026-09-02 02:55:33,vdr-12140,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00397,EMP12210,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-12210) within 24 hours,2026-09-05 00:38:00,2026-09-05 22:31:00,vdr-12210,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00398,EMP12273,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-12273) within 24 hours,2026-08-25 20:44:43,2026-08-26 03:07:49,vdr-12273,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00399,EMP12309,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-12309) within 24 hours,2026-08-18 06:10:00,2026-08-19 02:43:00,ws-12309,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00400,EMP12482,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-12482) within 24 hours,2026-08-16 13:03:54,2026-08-17 03:32:00,ws-12482,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00401,EMP12501,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-12501) within 24 hours,2026-08-28 23:29:36,2026-08-29 14:04:18,ws-12501,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00402,EMP12745,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-12745) within 24 hours,2026-08-02 18:05:25,2026-08-03 16:28:10,ws-12745,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00403,EMP12762,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (lpt-12762) within 24 hours,2026-08-19 13:18:33,2026-08-20 00:00:00,lpt-12762,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00404,EMP12935,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-12935) within 24 hours,2026-08-14 00:00:00,2026-08-14 21:17:49,ws-12935,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00407,EMP12993,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (lpt-12993) within 24 hours,2026-08-19 08:33:47,2026-08-19 17:00:12,lpt-12993,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00001,EMP10005,Post-Termination Activity,Critical,High,6 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-07 07:45:00,2026-09-04 20:30:10,VDR-10005,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00002,EMP10018,Post-Termination Activity,Critical,High,1 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-08 23:05:37,2026-08-29 12:23:13,VDR-10018,2,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00003,EMP10024,Post-Termination Activity,Critical,High,2 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-25 05:48:33,2026-09-06 15:19:35,VDR-10024,3,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00004,EMP10041,Post-Termination Activity,Critical,High,7 IAM and 6 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-04 11:48:30,2026-09-03 13:50:39,LPT-10041,13,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00005,EMP10046,Post-Termination Activity,Critical,High,4 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-09 00:00:00,2026-09-04 12:48:48,LPT-10046,7,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00006,EMP10047,Post-Termination Activity,Critical,High,1 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-17 21:52:00,2026-08-27 02:55:17,LPT-10047,3,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00007,EMP10062,Post-Termination Activity,Critical,High,3 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-16 11:58:17,2026-08-26 00:13:02,LPT-10062,4,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00008,EMP10086,Post-Termination Activity,Critical,High,3 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 00:00:00,2026-08-28 09:29:08,VDR-10086,6,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00009,EMP10091,Post-Termination Activity,Critical,High,6 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 21:33:33,2026-09-02 00:00:00,WS-10091,7,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00010,EMP10097,Post-Termination Activity,Critical,High,3 IAM and 4 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 02:13:00,2026-09-09 21:35:04,LPT-10097,7,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00011,EMP10099,Post-Termination Activity,Critical,High,4 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-17 00:00:00,2026-09-05 22:52:51,VDR-10099,6,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00013,EMP10109,Post-Termination Activity,Critical,High,3 IAM and 6 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-09 05:54:01,2026-09-08 06:04:29,VDR-10109,9,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00014,EMP10112,Post-Termination Activity,Critical,High,6 IAM and 5 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 09:08:30,2026-09-09 08:40:22,LPT-10112,11,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00015,EMP10120,Post-Termination Activity,Critical,High,7 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 00:00:00,2026-09-06 18:13:30,LPT-10120,10,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00017,EMP10136,Post-Termination Activity,Critical,High,6 IAM and 6 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 00:00:00,2026-09-06 00:00:00,WS-10136,12,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00018,EMP10139,Post-Termination Activity,Critical,High,6 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-04 12:17:00,2026-09-06 00:00:00,WS-10139,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00019,EMP10144,Post-Termination Activity,Critical,High,5 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-07 14:18:31,2026-09-06 20:33:53,LPT-10144,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00020,EMP10145,Post-Termination Activity,Critical,High,4 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-06 10:12:00,2026-09-09 14:35:38,WS-10145,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00021,EMP10154,Post-Termination Activity,Critical,High,5 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-07 13:07:45,2026-08-28 09:33:48,VDR-10154,6,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00022,EMP10166,Post-Termination Activity,Critical,High,6 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-02 18:21:00,2026-08-31 19:52:38,VDR-10166,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00023,EMP10178,Post-Termination Activity,Critical,High,4 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 02:41:09,2026-08-31 07:32:46,WS-10178,7,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00024,EMP10179,Post-Termination Activity,Critical,High,4 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 15:26:46,2026-09-07 10:55:30,VDR-10179,6,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00026,EMP10207,Post-Termination Activity,Critical,High,3 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-11 03:46:00,2026-09-09 19:26:19,VDR-10207,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00027,EMP10225,Post-Termination Activity,Critical,High,1 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-06 20:06:42,2026-08-25 12:14:46,WS-10225,3,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00028,EMP10233,Post-Termination Activity,Critical,High,3 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 05:15:56,2026-09-01 02:27:00,VDR-10233,6,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00029,EMP10237,Post-Termination Activity,Critical,High,4 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-02 00:00:00,2026-08-29 23:57:15,VDR-10237,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00030,EMP10238,Post-Termination Activity,Critical,High,3 IAM and 5 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-02 06:46:00,2026-09-09 00:00:00,VDR-10238,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00031,EMP10239,Post-Termination Activity,Critical,High,2 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-15 00:00:00,2026-09-03 05:51:00,WS-10239,3,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00032,EMP10249,Post-Termination Activity,Critical,High,4 IAM and 5 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-06 16:51:31,2026-09-09 04:21:02,VDR-10249,9,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00033,EMP10256,Post-Termination Activity,Critical,High,3 IAM and 4 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-06 01:01:21,2026-09-07 23:34:31,WS-10256,7,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00034,EMP10266,Post-Termination Activity,Critical,High,3 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 00:00:00,2026-08-24 16:11:53,WS-10266,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00035,EMP10277,Post-Termination Activity,Critical,High,5 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-06 17:45:00,2026-09-06 00:00:00,LPT-10277,6,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00036,EMP10285,Post-Termination Activity,Critical,High,4 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-23 21:40:02,2026-09-05 19:05:12,VDR-10285,6,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00037,EMP10296,Post-Termination Activity,Critical,High,70 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 04:57:29,2026-09-08 18:31:00,VDR-10296,73,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00038,EMP10297,Post-Termination Activity,Critical,High,3 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-04 03:39:17,2026-09-08 00:00:00,WS-10297,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00039,EMP10300,Post-Termination Activity,Critical,High,2 IAM and 7 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 07:06:00,2026-09-09 20:19:26,VDR-10300,9,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00040,EMP10308,Post-Termination Activity,Critical,High,5 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-08 16:29:13,2026-09-09 13:59:00,WS-10308,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00041,EMP10314,Post-Termination Activity,Critical,High,1 IAM and 4 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 00:00:00,2026-09-04 04:04:01,vdr-10314,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00042,EMP10331,Post-Termination Activity,Critical,High,6 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-04 00:00:00,2026-09-08 09:26:10,LPT-10331,7,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00043,EMP10343,Post-Termination Activity,Critical,High,3 IAM and 5 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-08 08:04:51,2026-08-30 22:04:06,VDR-10343,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00045,EMP10356,Post-Termination Activity,Critical,High,5 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 05:43:00,2026-08-28 22:10:04,LPT-10356,7,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00046,EMP10361,Post-Termination Activity,Critical,High,9 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-12 07:22:36,2026-09-07 14:07:00,VDR-10361,10,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00047,EMP10367,Post-Termination Activity,Critical,High,3 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-13 00:00:00,2026-08-29 09:09:34,WS-10367,4,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00048,EMP10369,Post-Termination Activity,Critical,High,5 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-06 09:28:17,2026-09-06 00:00:00,WS-10369,6,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00049,EMP10370,Post-Termination Activity,Critical,High,3 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 13:25:48,2026-09-04 00:00:00,WS-10370,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00050,EMP10373,Post-Termination Activity,Critical,High,4 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 19:54:04,2026-09-04 00:00:00,LPT-10373,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00051,EMP10377,Post-Termination Activity,Critical,High,3 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 02:41:00,2026-08-19 21:26:35,LPT-10377,4,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00052,EMP10387,Post-Termination Activity,Critical,High,4 IAM and 4 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-04 07:46:07,2026-08-30 00:00:00,VDR-10387,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00053,EMP10427,Post-Termination Activity,Critical,High,2 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-11 06:59:31,2026-09-06 00:00:00,VDR-10427,3,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00054,EMP10431,Post-Termination Activity,Critical,High,5 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 23:42:22,2026-09-07 12:10:13,LPT-10431,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00055,EMP10463,Post-Termination Activity,Critical,High,4 IAM and 4 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 00:00:00,2026-09-07 10:25:04,LPT-10463,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00056,EMP10467,Post-Termination Activity,Critical,High,5 IAM and 4 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 00:00:00,2026-09-05 00:00:00,WS-10467,9,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00057,EMP10474,Post-Termination Activity,Critical,High,3 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-11 00:00:00,2026-09-06 02:21:46,VDR-10474,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00060,EMP10501,Post-Termination Activity,Critical,High,2 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 00:00:00,2026-08-22 00:00:00,VDR-10501,3,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00061,EMP10503,Post-Termination Activity,Critical,High,2 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-08 22:48:00,2026-09-04 14:35:00,VDR-10503,4,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00062,EMP10504,Post-Termination Activity,Critical,High,4 IAM and 5 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-03 03:45:34,2026-09-04 00:00:00,VDR-10504,9,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00063,EMP10516,Post-Termination Activity,Critical,High,3 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-17 00:00:00,2026-09-04 08:02:24,LPT-10516,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00064,EMP10522,Post-Termination Activity,Critical,High,5 IAM and 4 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-15 13:37:48,2026-09-08 00:00:00,LPT-10522,9,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00065,EMP10526,Post-Termination Activity,Critical,High,3 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-07 17:54:53,2026-09-07 02:31:49,WS-10526,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00066,EMP10534,Post-Termination Activity,Critical,High,4 IAM and 4 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-05 19:58:09,2026-09-08 00:00:00,WS-10534,8,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00068,EMP10540,Post-Termination Activity,Critical,High,3 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-08 00:00:00,2026-09-03 15:06:43,WS-10540,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00069,EMP10542,Post-Termination Activity,Critical,High,3 IAM and 4 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-01 05:21:00,2026-08-21 00:59:28,VDR-10542,7,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00070,EMP10544,Post-Termination Activity,Critical,High,10 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-04 00:00:00,2026-09-09 00:00:00,WS-10544,11,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00071,EMP10560,Post-Termination Activity,Critical,High,2 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-07 02:32:31,2026-09-05 20:32:05,LPT-10560,5,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00072,EMP10577,Post-Termination Activity,Critical,High,5 IAM and 4 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-02 00:00:00,2026-09-06 17:21:53,VDR-10577,9,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00073,EMP10596,Post-Termination Activity,Critical,High,6 IAM and 3 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-02 07:13:40,2026-09-05 15:43:00,LPT-10596,9,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00074,EMP10599,Post-Termination Activity,Critical,High,1 IAM and 1 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-05 20:44:23,2026-08-24 17:46:21,VDR-10599,2,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00076,EMP10609,Post-Termination Activity,Critical,High,5 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-17 01:13:15,2026-09-09 07:00:15,LPT-10609,7,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
THR00077,EMP10625,Post-Termination Activity,Critical,High,8 IAM and 2 endpoint events occurred after the recorded termination date; corroborated across IAM and endpoint telemetry,2026-08-13 06:29:10,2026-09-06 10:13:24,WS-10625,10,Immediately review account status and both IAM and endpoint activity; revoke unauthorized access if confirmed
