device_key,alert_count,critical_alert_count,high_alert_count,unresolved_alert_count,unresolved_critical_count,malware_or_ransomware_count,powershell_count,lateral_movement_count,credential_access_count,tampering_count,usb_count,impossible_resolution_count,inactive_user_activity_count,identity_join_review_count,associated_user_count,risk_score,risk_reasons,critical_severity_points,high_severity_points,unresolved_critical_points,malware_ransomware_points,powershell_points,lateral_movement_points,credential_access_points,tampering_points,usb_points,impossible_resolution_points,inactive_user_points,identity_review_points,risk_band,hostname,device_criticality,departments
WS-11260,6,0,1,6,0,5,0,0,0,0,1,0,6,6,1,43,5 malware/ransomware alert(s); 6 inactive-user event(s); 6 identity review concern(s),0,3,0,15,0,0,0,0,1,0,18,6,Critical,WS-11260,Medium,Customer Care
LPT-10100,7,0,2,3,0,2,2,2,0,0,1,0,7,0,1,42,2 malware/ransomware alert(s); 2 PowerShell alert(s); 2 lateral-movement alert(s); 7 inactive-user event(s),0,6,0,6,4,4,0,0,1,0,21,0,Critical,LPT-10100,Critical,Sales
WS-12162,6,3,1,4,3,4,1,0,0,0,1,0,0,0,1,42,3 critical alert(s); 3 unresolved critical alert(s); 4 malware/ransomware alert(s); 1 PowerShell alert(s),15,3,9,12,2,0,0,0,1,0,0,0,Critical,WS-12162,Low,Procurement
VDR-10562,7,0,0,7,0,0,2,2,2,0,1,0,7,7,1,41,2 PowerShell alert(s); 2 lateral-movement alert(s); 2 credential-access alert(s); 7 inactive-user event(s); 7 identity review concern(s),0,0,0,0,4,4,4,0,1,0,21,7,Critical,VDR-10562,Low,Purch
VDR-11224,7,0,0,4,0,3,1,1,0,0,0,0,7,7,1,41,3 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 7 inactive-user event(s); 7 identity review concern(s),0,0,0,9,2,2,0,0,0,0,21,7,Critical,VDR-11224,Critical,Supply Chain
WS-12446,6,1,1,5,1,2,1,1,1,0,0,0,6,0,1,41,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),5,3,3,6,2,2,2,0,0,0,18,0,Critical,WS-12446,Medium,Human Resource
LPT-10439,5,0,3,2,0,2,0,2,1,0,0,0,5,5,1,41,2 malware/ransomware alert(s); 2 lateral-movement alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 5 identity review concern(s),0,9,0,6,0,4,2,0,0,0,15,5,Critical,LPT-10439,Critical,Ops
WS-12409,7,1,1,5,1,1,1,0,1,0,1,0,7,0,1,40,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 7 inactive-user event(s),5,3,3,3,2,0,2,0,1,0,21,0,Critical,WS-12409,Medium,Sales Dept
VDR-11507,6,1,1,3,1,1,2,0,2,0,0,0,6,0,1,40,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 2 PowerShell alert(s); 2 credential-access alert(s); 6 inactive-user event(s),5,3,3,3,4,0,4,0,0,0,18,0,Critical,VDR-11507,Low,Hr
WS-11218,4,2,1,4,2,2,0,0,1,0,1,0,4,0,1,40,2 critical alert(s); 2 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 credential-access alert(s); 4 inactive-user event(s),10,3,6,6,0,0,2,0,1,0,12,0,Critical,WS-11218,Critical,Mkt
VDR-11402,6,0,3,4,0,1,1,2,1,0,1,0,6,0,1,39,1 malware/ransomware alert(s); 1 PowerShell alert(s); 2 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),0,9,0,3,2,4,2,0,1,0,18,0,Critical,VDR-11402,High,Customer Support
WS-10806,5,1,1,3,1,3,1,0,1,0,0,0,5,0,1,39,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 5 inactive-user event(s),5,3,3,9,2,0,2,0,0,0,15,0,Critical,WS-10806,Critical,Marketing
WS-10500,4,2,1,3,2,1,1,0,1,0,1,0,4,0,1,39,2 critical alert(s); 2 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 4 inactive-user event(s),10,3,6,3,2,0,2,0,1,0,12,0,Critical,WS-10500,High,Sales
VDR-10035,5,1,0,2,1,5,0,0,0,0,0,0,5,0,1,38,1 critical alert(s); 1 unresolved critical alert(s); 5 malware/ransomware alert(s); 5 inactive-user event(s),5,0,3,15,0,0,0,0,0,0,15,0,Critical,VDR-10035,Critical,Call Center
LPT-11290,4,1,1,3,1,3,0,0,1,0,0,0,4,4,1,38,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 1 credential-access alert(s); 4 inactive-user event(s); 4 identity review concern(s),5,3,3,9,0,0,2,0,0,0,12,4,Critical,LPT-11290,Medium,Innovation
LPT-10708,3,2,1,3,2,3,0,0,0,0,0,0,3,0,1,37,2 critical alert(s); 2 unresolved critical alert(s); 3 malware/ransomware alert(s); 3 inactive-user event(s),10,3,6,9,0,0,0,0,0,0,9,0,Critical,LPT-10708,High,Finance
LPT-10041,6,0,2,4,0,2,1,0,1,0,2,0,6,0,1,36,2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 6 inactive-user event(s),0,6,0,6,2,0,2,0,2,0,18,0,Critical,LPT-10041,High,Purchase
LPT-10112,6,1,0,4,1,1,0,1,1,0,3,0,6,0,1,36,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),5,0,3,3,0,2,2,0,3,0,18,0,Critical,LPT-10112,High,Fin
VDR-10527,6,1,3,5,1,2,0,1,2,0,1,0,0,6,1,36,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 2 credential-access alert(s); 6 identity review concern(s),5,9,3,6,0,2,4,0,1,0,0,6,Critical,VDR-10527,Medium,Legal Dept
VDR-11973,6,0,0,3,0,3,0,1,0,0,1,0,6,6,1,36,3 malware/ransomware alert(s); 1 lateral-movement alert(s); 6 inactive-user event(s); 6 identity review concern(s),0,0,0,9,0,2,0,0,1,0,18,6,Critical,VDR-11973,Low,R&D
LPT-11376,5,0,2,4,0,2,0,1,1,0,0,0,5,5,1,36,2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 5 identity review concern(s),0,6,0,6,0,2,2,0,0,0,15,5,Critical,LPT-11376,Critical,R&D
LPT-11250,4,1,1,2,1,2,0,1,0,0,1,0,4,4,1,36,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 4 inactive-user event(s); 4 identity review concern(s),5,3,3,6,0,2,0,0,1,0,12,4,Critical,LPT-11250,Low,Customer Care
VDR-12073,7,2,2,6,2,3,1,0,0,0,2,0,0,0,1,35,2 critical alert(s); 2 unresolved critical alert(s); 3 malware/ransomware alert(s); 1 PowerShell alert(s),10,6,6,9,2,0,0,0,2,0,0,0,Critical,VDR-12073,Medium,Supply Chain
LPT-12911,6,1,4,6,1,3,2,1,0,0,0,0,0,0,1,35,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 2 PowerShell alert(s); 1 lateral-movement alert(s),5,12,3,9,4,2,0,0,0,0,0,0,Critical,LPT-12911,High,Sales Team
VDR-11617,6,0,2,2,0,1,2,0,2,0,0,0,6,0,1,35,1 malware/ransomware alert(s); 2 PowerShell alert(s); 2 credential-access alert(s); 6 inactive-user event(s),0,6,0,3,4,0,4,0,0,0,18,0,Critical,VDR-11617,Medium,Finance
LPT-12268,5,1,1,3,1,1,1,0,1,0,1,1,5,0,1,35,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 5 inactive-user event(s),5,3,3,3,2,0,2,0,1,1,15,0,Critical,LPT-12268,Medium,Sales
WS-10714,5,1,1,2,0,3,0,0,1,0,0,1,5,0,1,35,1 critical alert(s); 3 malware/ransomware alert(s); 1 credential-access alert(s); 5 inactive-user event(s),5,3,0,9,0,0,2,0,0,1,15,0,Critical,WS-10714,Low,Cs
WS-10281,4,2,0,2,1,2,0,1,1,0,0,0,4,0,1,35,2 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 4 inactive-user event(s),10,0,3,6,0,2,2,0,0,0,12,0,Critical,WS-10281,Critical,People Team
VDR-12247,3,2,1,2,1,1,1,0,1,0,0,0,3,3,1,35,2 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 3 inactive-user event(s); 3 identity review concern(s),10,3,3,3,2,0,2,0,0,0,9,3,Critical,VDR-12247,Critical,It Support
LPT-12424,9,1,4,8,0,3,0,1,1,0,4,0,0,0,1,34,1 critical alert(s); 3 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s),5,12,0,9,0,2,2,0,4,0,0,0,Critical,LPT-12424,High,Mkt
VDR-11599,7,2,1,7,2,4,0,0,0,0,3,0,0,0,1,34,2 critical alert(s); 2 unresolved critical alert(s); 4 malware/ransomware alert(s),10,3,6,12,0,0,0,0,3,0,0,0,Critical,VDR-11599,High,R&D
LPT-12197,6,0,1,3,0,1,2,2,1,0,0,0,6,0,1,34,1 malware/ransomware alert(s); 2 PowerShell alert(s); 2 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),0,3,0,3,4,4,2,0,0,0,18,0,Critical,LPT-12197,Low,People Team
VDR-10577,6,1,0,2,0,2,1,0,0,0,3,0,6,0,1,34,1 critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 6 inactive-user event(s),5,0,0,6,2,0,0,0,3,0,18,0,Critical,VDR-10577,Medium,Mktg
LPT-11577,5,0,1,5,0,2,0,1,1,0,0,1,5,5,1,34,2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 5 identity review concern(s),0,3,0,6,0,2,2,0,0,1,15,5,Critical,LPT-11577,Medium,Customer Support
VDR-10109,5,1,1,4,1,1,2,0,0,0,1,0,5,0,1,34,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 2 PowerShell alert(s); 5 inactive-user event(s),5,3,3,3,4,0,0,0,1,0,15,0,Critical,VDR-10109,Medium,Legal
VDR-10674,5,1,0,5,1,2,1,1,0,0,1,0,5,0,1,34,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 5 inactive-user event(s),5,0,3,6,2,2,0,0,1,0,15,0,Critical,VDR-10674,Medium,Information Technology
LPT-11857,6,0,0,3,0,3,1,1,1,0,0,0,6,0,1,33,3 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),0,0,0,9,2,2,2,0,0,0,18,0,Critical,LPT-11857,High,Compliance
VDR-11210,6,2,2,3,1,3,1,1,0,0,1,0,0,0,1,33,2 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s),10,6,3,9,2,2,0,0,1,0,0,0,Critical,VDR-11210,Critical,Sales Team
WS-11749,6,0,2,5,0,1,0,2,0,0,2,0,6,0,1,33,1 malware/ransomware alert(s); 2 lateral-movement alert(s); 6 inactive-user event(s),0,6,0,3,0,4,0,0,2,0,18,0,Critical,WS-11749,Low,Operations
VDR-10387,4,0,2,3,0,3,0,0,1,0,0,0,4,4,1,33,3 malware/ransomware alert(s); 1 credential-access alert(s); 4 inactive-user event(s); 4 identity review concern(s),0,6,0,9,0,0,2,0,0,0,12,4,Critical,VDR-10387,Low,Supply Chain
VDR-10542,4,1,2,3,0,2,0,1,1,0,0,0,4,0,1,33,1 critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 4 inactive-user event(s),5,6,0,6,0,2,2,0,0,0,12,0,Critical,VDR-10542,High,Marketing Dept
WS-12515,4,1,0,2,1,3,0,0,0,0,0,0,4,4,1,33,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 4 inactive-user event(s); 4 identity review concern(s),5,0,3,9,0,0,0,0,0,0,12,4,Critical,WS-12515,Low,Sales
WS-10486,7,1,3,6,1,2,1,1,2,0,1,0,0,0,1,32,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 2 credential-access alert(s),5,9,3,6,2,2,4,0,1,0,0,0,Critical,WS-10486,Medium,Sales Dept
WS-11682,6,2,2,4,2,2,0,0,2,0,0,0,0,0,1,32,2 critical alert(s); 2 unresolved critical alert(s); 2 malware/ransomware alert(s); 2 credential-access alert(s),10,6,6,6,0,0,4,0,0,0,0,0,Critical,WS-11682,Critical,Compliance
LPT-12457,5,1,1,2,1,1,0,0,0,0,3,0,5,0,1,32,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 5 inactive-user event(s),5,3,3,3,0,0,0,0,3,0,15,0,Critical,LPT-12457,Low,Compliance
VDR-11375,5,0,0,3,0,3,0,1,0,0,1,0,5,5,1,32,3 malware/ransomware alert(s); 1 lateral-movement alert(s); 5 inactive-user event(s); 5 identity review concern(s),0,0,0,9,0,2,0,0,1,0,15,5,Critical,VDR-11375,Low,It Dept
WS-11063,5,2,3,1,0,4,0,0,0,0,1,0,0,0,1,32,2 critical alert(s); 4 malware/ransomware alert(s),10,9,0,12,0,0,0,0,1,0,0,0,Critical,WS-11063,High,Human Resources
LPT-10655,4,3,0,4,3,0,2,1,1,0,0,0,0,0,1,32,3 critical alert(s); 3 unresolved critical alert(s); 2 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s),15,0,9,0,4,2,2,0,0,0,0,0,Critical,LPT-10655,High,Human Resource
LPT-11048,4,3,0,3,3,2,1,0,0,0,0,0,0,0,1,32,3 critical alert(s); 3 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s),15,0,9,6,2,0,0,0,0,0,0,0,Critical,LPT-11048,Medium,Finance
LPT-12998,4,2,1,2,2,1,1,0,2,0,0,0,0,4,1,32,2 critical alert(s); 2 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 2 credential-access alert(s); 4 identity review concern(s),10,3,6,3,2,0,4,0,0,0,0,4,Critical,LPT-12998,Low,Human Resources
VDR-12218,4,1,2,2,1,1,1,0,0,0,0,1,4,0,1,32,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 4 inactive-user event(s),5,6,3,3,2,0,0,0,0,1,12,0,Critical,VDR-12218,Low,Finance
WS-12878,4,2,0,2,0,3,0,0,0,0,1,0,4,0,1,32,2 critical alert(s); 3 malware/ransomware alert(s); 4 inactive-user event(s),10,0,0,9,0,0,0,0,1,0,12,0,Critical,WS-12878,Medium,Customer Support
WS-11550,8,1,2,4,1,4,1,0,1,0,1,0,0,0,1,31,1 critical alert(s); 1 unresolved critical alert(s); 4 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s),5,6,3,12,2,0,2,0,1,0,0,0,Critical,WS-11550,Low,Mktg
WS-11923,6,1,2,6,1,1,0,1,3,0,0,0,0,6,1,31,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 lateral-movement alert(s); 3 credential-access alert(s); 6 identity review concern(s),5,6,3,3,0,2,6,0,0,0,0,6,Critical,WS-11923,Medium,Finance
VDR-10744,5,2,0,4,2,2,0,1,0,0,2,0,0,5,1,31,2 critical alert(s); 2 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 5 identity review concern(s),10,0,6,6,0,2,0,0,2,0,0,5,Critical,VDR-10744,Medium,Ops
WS-12981,5,2,2,5,2,2,1,0,0,0,0,1,0,0,1,31,2 critical alert(s); 2 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s),10,6,6,6,2,0,0,0,0,1,0,0,Critical,WS-12981,Low,Mkt
LPT-10511,4,1,1,2,1,1,2,0,0,0,1,0,4,0,1,31,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 2 PowerShell alert(s); 4 inactive-user event(s),5,3,3,3,4,0,0,0,1,0,12,0,Critical,LPT-10511,Critical,Finance
VDR-12526,4,0,1,2,0,3,0,0,1,0,0,1,4,4,1,31,3 malware/ransomware alert(s); 1 credential-access alert(s); 4 inactive-user event(s); 4 identity review concern(s),0,3,0,9,0,0,2,0,0,1,12,4,Critical,VDR-12526,Medium,Fin
LPT-10637,7,1,0,4,1,3,2,0,1,0,0,0,0,7,1,30,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 2 PowerShell alert(s); 1 credential-access alert(s); 7 identity review concern(s),5,0,3,9,4,0,2,0,0,0,0,7,Critical,LPT-10637,Medium,Purch
LPT-11246,7,1,2,4,1,4,0,2,0,0,0,0,0,0,1,30,1 critical alert(s); 1 unresolved critical alert(s); 4 malware/ransomware alert(s); 2 lateral-movement alert(s),5,6,3,12,0,4,0,0,0,0,0,0,Critical,LPT-11246,Low,It
LPT-12762,6,0,0,5,0,2,0,1,1,0,2,0,6,0,1,30,2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),0,0,0,6,0,2,2,0,2,0,18,0,Critical,LPT-12762,Critical,Marketing
WS-12736,6,2,0,5,2,3,0,2,0,0,1,0,0,0,1,30,2 critical alert(s); 2 unresolved critical alert(s); 3 malware/ransomware alert(s); 2 lateral-movement alert(s),10,0,6,9,0,4,0,0,1,0,0,0,Critical,WS-12736,High,Legal Dept
VDR-10455,5,2,1,5,2,1,0,1,2,0,1,1,0,0,1,30,2 critical alert(s); 2 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 lateral-movement alert(s); 2 credential-access alert(s),10,3,6,3,0,2,4,0,1,1,0,0,Critical,VDR-10455,Low,It Support
WS-10355,5,0,1,4,0,2,0,0,3,0,0,0,5,0,1,30,2 malware/ransomware alert(s); 3 credential-access alert(s); 5 inactive-user event(s),0,3,0,6,0,0,6,0,0,0,15,0,Critical,WS-10355,Low,Sales
WS-11380,5,2,3,2,0,2,1,1,0,0,1,0,0,0,1,30,2 critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s),10,9,0,6,2,2,0,0,1,0,0,0,Critical,WS-11380,High,Hr Dept
LPT-10909,4,1,0,2,1,2,0,0,2,0,0,0,4,0,1,30,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 2 credential-access alert(s); 4 inactive-user event(s),5,0,3,6,0,0,4,0,0,0,12,0,Critical,LPT-10909,Low,Cs
VDR-10343,4,0,2,4,0,1,0,2,0,0,1,0,4,4,1,30,1 malware/ransomware alert(s); 2 lateral-movement alert(s); 4 inactive-user event(s); 4 identity review concern(s),0,6,0,3,0,4,0,0,1,0,12,4,Critical,VDR-10343,Low,Sales Dept
WS-11536,4,0,2,4,0,4,0,0,0,0,0,0,4,0,1,30,4 malware/ransomware alert(s); 4 inactive-user event(s),0,6,0,12,0,0,0,0,0,0,12,0,Critical,WS-11536,Low,Fin
LPT-10821,6,0,0,5,0,1,1,1,1,0,2,0,6,0,1,29,1 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),0,0,0,3,2,2,2,0,2,0,18,0,Critical,LPT-10821,High,Customer Care
LPT-10522,5,0,1,4,0,2,0,0,2,0,1,0,5,0,1,29,2 malware/ransomware alert(s); 2 credential-access alert(s); 5 inactive-user event(s),0,3,0,6,0,0,4,0,1,0,15,0,Critical,LPT-10522,High,Business Sales
LPT-11841,5,0,1,2,0,1,3,1,0,0,0,0,5,0,1,29,1 malware/ransomware alert(s); 3 PowerShell alert(s); 1 lateral-movement alert(s); 5 inactive-user event(s),0,3,0,3,6,2,0,0,0,0,15,0,Critical,LPT-11841,Medium,It Support
VDR-12174,5,0,3,4,0,0,1,1,0,0,1,0,5,0,1,29,1 PowerShell alert(s); 1 lateral-movement alert(s); 5 inactive-user event(s),0,9,0,0,2,2,0,0,1,0,15,0,Critical,VDR-12174,High,Sales
LPT-10575,4,2,1,4,2,0,0,1,1,0,2,0,0,4,1,29,2 critical alert(s); 2 unresolved critical alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 4 identity review concern(s),10,3,6,0,0,2,2,0,2,0,0,4,Critical,LPT-10575,Low,Customer Care
LPT-12817,4,1,1,4,1,0,1,1,0,0,0,2,4,0,1,29,1 critical alert(s); 1 unresolved critical alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 4 inactive-user event(s),5,3,3,0,2,2,0,0,0,2,12,0,Critical,LPT-12817,Low,Purchase
VDR-11493,4,2,1,2,1,3,0,0,0,0,0,0,0,4,1,29,2 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 4 identity review concern(s),10,3,3,9,0,0,0,0,0,0,0,4,Critical,VDR-11493,Medium,Information Technology
VDR-11943,4,0,2,3,0,3,0,1,0,0,0,0,4,0,1,29,3 malware/ransomware alert(s); 1 lateral-movement alert(s); 4 inactive-user event(s),0,6,0,9,0,2,0,0,0,0,12,0,Critical,VDR-11943,Critical,Hr
VDR-11758,3,2,0,2,1,1,0,1,1,0,0,0,3,0,1,29,2 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 3 inactive-user event(s),10,0,3,3,0,2,2,0,0,0,9,0,Critical,VDR-11758,Low,Purch
VDR-11951,3,1,1,2,1,3,0,0,0,0,0,0,3,0,1,29,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 3 inactive-user event(s),5,3,3,9,0,0,0,0,0,0,9,0,Critical,VDR-11951,Low,Mktg
LPT-11025,9,1,3,7,1,1,0,2,1,0,2,0,0,0,1,28,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 2 lateral-movement alert(s); 1 credential-access alert(s),5,9,3,3,0,4,2,0,2,0,0,0,Critical,LPT-11025,Critical,Finance
VDR-12388,7,2,0,5,2,3,0,0,1,0,1,0,0,0,1,28,2 critical alert(s); 2 unresolved critical alert(s); 3 malware/ransomware alert(s); 1 credential-access alert(s),10,0,6,9,0,0,2,0,1,0,0,0,Critical,VDR-12388,High,Sales Dept
LPT-12135,6,1,2,5,1,4,0,1,0,0,0,0,0,0,1,28,1 critical alert(s); 1 unresolved critical alert(s); 4 malware/ransomware alert(s); 1 lateral-movement alert(s),5,6,3,12,0,2,0,0,0,0,0,0,Critical,LPT-12135,High,Human Resources
WS-10136,6,0,0,5,0,1,0,2,0,0,3,0,6,0,1,28,1 malware/ransomware alert(s); 2 lateral-movement alert(s); 6 inactive-user event(s),0,0,0,3,0,4,0,0,3,0,18,0,Critical,WS-10136,Low,People Team
WS-10800,6,1,3,4,1,1,1,1,1,0,2,0,0,0,1,28,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s),5,9,3,3,2,2,2,0,2,0,0,0,Critical,WS-10800,Low,Fin
LPT-11483,5,1,1,5,1,2,1,1,1,0,0,0,0,5,1,28,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 5 identity review concern(s),5,3,3,6,2,2,2,0,0,0,0,5,Critical,LPT-11483,High,Rnd
LPT-11875,5,0,0,1,0,4,0,0,0,0,1,0,5,0,1,28,4 malware/ransomware alert(s); 5 inactive-user event(s),0,0,0,12,0,0,0,0,1,0,15,0,Critical,LPT-11875,Low,Operations
LPT-12783,5,2,0,4,2,1,0,2,0,0,0,0,0,5,1,28,2 critical alert(s); 2 unresolved critical alert(s); 1 malware/ransomware alert(s); 2 lateral-movement alert(s); 5 identity review concern(s),10,0,6,3,0,4,0,0,0,0,0,5,Critical,LPT-12783,Medium,Marketing
