log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country,hostname_join_key,src_ip_valid,dst_ip_valid,src_port_status,dst_port_status,bytes_sent_status,bytes_received_status
FW000007101,2026-08-09 18:46:12,lpt-11055,192.168.11.62,,3389,25,TCP,ALLOW,49461330,1572864,SID538498,False,,CN,lpt-11055,True,False,valid,valid,valid,valid
FW000022267,2026-08-02 12:14:00,lpt-10356,,152.71.247.39,8080,443,TCP,DENY,18652452,32388589,SID329262,False,,,lpt-10356,False,True,valid,valid,valid,valid
FW000019303,2026-09-02 00:00:00,,,,3389,,TCP,ALLOW,19202469,25842703,SID998455,False,ALLOW_INTERNAL_DNS,US,,False,False,valid,invalid,valid,valid
FW000017610,2026-09-06 22:11:38,lpt-11870,,121.108.104.116,22,53,ICMP,ALLOW,28163533,23915413,SID692608,False,,RU,lpt-11870,False,True,valid,valid,valid,valid
FW000020256,,ws-11243,,,1433,8443,UDP,ALLOW,,38452978,SID888925,True,ALLOW_INTERNAL_DNS,IN,ws-11243,False,False,valid,valid,missing,valid
FW000012297,2026-09-01 22:34:04,vdr-12883,,,3306,443,TCP,DENY,45935403,28110039,SID281899,False,UNKNOWN,IN,vdr-12883,,,valid,valid,valid,valid
FW000024319,2026-08-31 08:22:36,lpt-12158,155.90.72.156,143.107.18.136,135,443,ICMP,ALLOW,,18182308,SID364978,False,,UNKNOWN,lpt-12158,True,True,valid,valid,invalid,valid
FW000001792,2026-08-23 18:55:00,ws-12992,,86.97.154.216,3306,,TCP,DENY,40398389,34226001,SID691786,False,DENY_TELNET,UNKNOWN,ws-12992,False,True,valid,invalid,valid,valid
FW000000897,2026-08-27 02:40:00,lpt-10909.corp.local,,192.168.136.175,80,80,TCP,ALLOW,44199203,,,False,UNKNOWN,,lpt-10909,False,True,valid,valid,valid,missing
FW000022843,2026-08-01 10:34:33,vdr-11632,,11.154.83.112,445,443,ICMP,DENY,37401471,6807637,SID733944,False,UNKNOWN,US,vdr-11632,False,True,valid,valid,valid,valid
FW000026906,2026-08-18 23:40:19,ws-10602,192.168.203.7,80.162.192.16,1433,3389,TCP,ALLOW,48015126,37787701,SID867802,False,BLOCK_EXTERNAL_RDP,RU,ws-10602,True,True,valid,valid,valid,valid
FW000001599,2026-08-31 16:55:26,vdr-11575,,21.61.48.53,135,1433,TCP,ALLOW,16728092,,SID477233,False,BLOCK_TOR_EXIT,IN,vdr-11575,False,True,valid,valid,valid,missing
FW000011118,2026-08-08 10:51:12,ws-11806,,,,53,TCP,ALLOW,3287023,44813546,SID563073,False,BLOCK_TOR_EXIT,US,ws-11806,False,False,invalid,valid,valid,valid
FW000002880,2026-08-04 16:32:06,ws-11564,192.168.202.246,,443,3389,TCP,ALLOW,31032243,29371865,SID819389,False,BLOCK_EXTERNAL_RDP,US,ws-11564,True,False,valid,valid,valid,valid
FW000024131,2026-08-02 11:29:59,vdr-10231,,175.114.149.222,8443,8080,TCP,DENY,1256036,37476384,SID898422,False,BLOCK_EXTERNAL_RDP,UNKNOWN,vdr-10231,False,True,valid,valid,valid,valid
FW000009419,2026-09-09 00:00:00,vdr-12200.corp.local,,172.16.119.167,,1433,TCP,ALLOW,11046062,37170715,SID250529,False,DENY_TELNET,US,vdr-12200,False,True,missing,valid,valid,valid
FW000027731,2026-09-01 04:11:01,lpt-12755,58.83.187.197,,8080,53,TCP,DENY,37747537,40548434,SID395360,False,,US,lpt-12755,True,False,valid,valid,valid,valid
FW000028977,2026-09-07 19:03:07,ws-10941,,,8080,445,UDP,ALLOW,1955811,48806639,SID109124,False,DENY_TELNET,,ws-10941,False,False,valid,valid,valid,valid
FW000028680,2026-09-01 18:39:12,vdr-11082,,27.125.234.20,8443,,TCP,ALLOW,14088416,27295606,SID574481,False,,IN,vdr-11082,False,True,valid,invalid,valid,valid
FW000010945,2026-08-23 01:20:00,vdr-12017,,192.168.228.127,8080,,TCP,ALLOW,21083845,,SID921722,False,DENY_TELNET,IN,vdr-12017,False,True,valid,missing,valid,missing
FW000028092,2026-08-29 18:21:57,ws-12037,,,443,25,TCP,ALLOW,38066762,,SID145416,False,ALLOW_INTERNAL_DNS,IN,ws-12037,False,,valid,valid,valid,missing
FW000011538,2026-08-25 07:17:24,ws-10049,172.16.156.49,192.168.181.72,135,8443,OTHER,ALLOW,32172882,,SID809607,False,,RU,ws-10049,True,True,valid,valid,valid,invalid
FW000012147,2026-08-07 15:47:00,lpt-10076,,192.168.106.69,,445,TCP,DENY,37478215,42729472,SID811306,False,DENY_TELNET,US,lpt-10076,False,True,invalid,valid,valid,valid
FW000026086,2026-08-09 14:52:46,,192.168.17.39,,80,8080,TCP,DENY,48054142,47499231,,False,ALLOW_OFFICE_APPS,IN,,True,False,valid,valid,valid,valid
FW000014162,2026-08-08 04:02:00,,,,80,53,TCP,ALLOW,49565083,37181194,SID708407,False,ALLOW_OFFICE_APPS,UNKNOWN,,False,False,valid,valid,valid,valid
FW000024683,2026-08-23 00:00:00,vdr-11343,78.232.212.230,192.168.143.146,,22,UDP,ALLOW,4563739,11806966,SID409076,False,ALLOW_OFFICE_APPS,US,vdr-11343,True,True,missing,valid,valid,valid
FW000005743,,vdr-10503,,214.211.176.212,8443,53,TCP,ALLOW,43818265,15868370,SID457382,True,DENY_TELNET,,vdr-10503,False,True,valid,valid,valid,valid
FW000004739,2026-09-09 00:00:00,lpt-12743,172.16.180.233,192.168.221.59,53,25,TCP,ALLOW,9896265,35786415,SID772015,False,UNKNOWN,,lpt-12743,True,True,valid,valid,valid,valid
FW000007199,2026-08-22 22:29:51,lpt-10437,172.16.102.184,189.240.208.35,443,3389,TCP,ALLOW,19236905,19563255,SID333254,False,BLOCK_EXTERNAL_RDP,,lpt-10437,True,True,valid,valid,valid,valid
FW000005816,,ws-12447,,,22,0,TCP,ALLOW,2002780,,,False,ALLOW_OFFICE_APPS,UNKNOWN,ws-12447,False,False,valid,valid,valid,invalid
FW000026881,2026-09-09 05:18:45,lpt-10616,,,135,,TCP,ALLOW,41248016,29169347,SID950116,False,,IN,lpt-10616,,False,valid,missing,valid,valid
FW000011098,2026-08-03 20:11:00,lpt-11805,,,25,1433,UDP,ALLOW,27931877,29470677,,False,DENY_TELNET,UNKNOWN,lpt-11805,False,False,valid,valid,valid,valid
FW000014470,2026-08-07 00:00:00,ws-10814,86.88.100.11,,443,8080,ICMP,DENY,27022586,8230325,SID531136,False,DENY_TELNET,,ws-10814,True,False,valid,valid,valid,valid
FW000006423,2026-08-21 11:03:00,ws-11041,214.0.129.63,,445,80,TCP,ALLOW,32531283,,SID521609,False,ALLOW_OFFICE_APPS,UNKNOWN,ws-11041,True,False,valid,valid,valid,invalid
FW000018798,2026-09-08 10:25:43,vdr-12436,172.16.252.155,159.195.194.93,135,3306,TCP,ALLOW,38407000,17289618,SID706740,False,ALLOW_OFFICE_APPS,,vdr-12436,True,True,valid,valid,valid,valid
FW000023495,2026-08-28 18:46:45,ws-11895,192.168.199.223,172.16.55.96,,25,TCP,ALLOW,15625326,30746779,SID865127,False,DENY_TELNET,,ws-11895,True,True,missing,valid,valid,valid
FW000013084,2026-09-04 03:08:38,lpt-12778,,,3306,,TCP,ALLOW,49133102,,SID463585,False,DENY_TELNET,,lpt-12778,False,,valid,invalid,valid,missing
FW000016566,2026-08-21 05:36:16,ws-12723,10.187.231.0,,8080,,UDP,DENY,33640403,494249,SID585639,False,ALLOW_OFFICE_APPS,,ws-12723,True,False,valid,missing,valid,valid
FW000025408,2026-08-11 02:50:49,ws-10074,,,,445,TCP,ALLOW,8175385,,SID851313,False,UNKNOWN,RU,ws-10074,False,,invalid,valid,valid,missing
FW000019613,2026-08-24 17:14:21,lpt-11710.corp.local,,172.16.149.204,,22,TCP,ALLOW,25444675,21535163,SID623901,False,ALLOW_OFFICE_APPS,IN,lpt-11710,False,True,invalid,valid,valid,valid
FW000007470,2026-08-15 02:57:00,lpt-11903,,210.6.231.19,,,UDP,ALLOW,20639347,47857019,SID335255,False,ALLOW_OFFICE_APPS,RU,lpt-11903,False,True,invalid,missing,valid,valid
FW000022385,2026-08-03 05:29:45,ws-12204,,,,,TCP,ALLOW,7524076,41374539,SID492908,False,MONITOR_DB_ACCESS,IN,ws-12204,False,False,invalid,invalid,valid,valid
FW000023078,2026-08-04 06:22:35,vdr-12247,192.168.233.252,200.41.66.155,,445,TCP,ALLOW,,46342016,SID702175,False,,,vdr-12247,True,True,missing,valid,invalid,valid
FW000024125,2026-08-03 02:48:11,lpt-12520,192.168.209.155,172.16.170.74,445,8080,TCP,ALLOW,35896461,11041137,,False,BLOCK_EXTERNAL_RDP,,lpt-12520,True,True,valid,valid,valid,valid
FW000012478,2026-08-31 12:50:14,,,,0,,TCP,DENY,49544779,34036638,SID588800,False,DENY_TELNET,,,False,False,valid,invalid,valid,valid
FW000003101,2026-09-05 06:33:17,vdr-11843,,112.28.222.134,22,53,TCP,ALLOW,19547080,38057550,,False,ALLOW_INTERNAL_DNS,CN,vdr-11843,False,True,valid,valid,valid,valid
FW000015212,,lpt-11627,,,445,8443,TCP,ALLOW,47729438,23535307,SID458433,False,ALLOW_INTERNAL_DNS,IN,lpt-11627,False,False,valid,valid,valid,valid
FW000013372,2026-08-03 16:57:17,vdr-10631,,172.16.2.114,1433,53,TCP,ALLOW,,28163109,SID753399,False,BLOCK_TOR_EXIT,US,vdr-10631,,True,valid,valid,invalid,valid
FW000007118,2026-09-03 03:33:10,lpt-11478,,100.43.85.68,445,22,UDP,DENY,16968285,24056436,SID314044,False,,RU,lpt-11478,False,True,valid,valid,valid,valid
FW000019700,,ws-12999,192.168.101.233,,25,22,TCP,ALLOW,28370526,,SID850726,False,BLOCK_EXTERNAL_RDP,CN,ws-12999,True,False,valid,valid,valid,missing
FW000014620,2026-09-05 22:53:09,lpt-12541,140.175.207.223,50.159.245.89,80,135,TCP,ALLOW,32642171,46976205,SID582115,False,ALLOW_OFFICE_APPS,RU,lpt-12541,True,True,valid,valid,valid,valid
FW000010325,2026-09-04 01:49:00,,192.168.148.34,,3389,8080,TCP,ALLOW,42586323,38661404,,False,ALLOW_INTERNAL_DNS,IN,,True,,valid,valid,valid,valid
FW000007754,2026-08-16 20:41:00,vdr-10743,172.16.97.250,172.16.57.8,3389,,TCP,DENY,9705491,3140613,,False,,RU,vdr-10743,True,True,valid,missing,valid,valid
FW000006290,2026-08-07 01:21:56,vdr-12732,112.159.19.211,,25,,TCP,DENY,20618445,23340422,SID937475,True,ALLOW_OFFICE_APPS,RU,vdr-12732,True,,valid,missing,valid,valid
FW000007970,2026-08-23 19:19:28,lpt-12542.corp.local,,,80,0,UDP,ALLOW,3107576,45525887,SID254504,False,BLOCK_TOR_EXIT,,lpt-12542,False,False,valid,valid,valid,valid
FW000019212,2026-09-07 16:33:00,vdr-10005,192.168.163.43,,22,80,TCP,ALLOW,20524979,17871476,SID335762,False,ALLOW_OFFICE_APPS,US,vdr-10005,True,False,valid,valid,valid,valid
FW000004956,2026-08-05 20:05:40,vdr-11394,52.159.12.248,,3389,8443,TCP,ALLOW,,9709814,SID531143,False,DENY_TELNET,,vdr-11394,True,False,valid,valid,missing,valid
FW000010100,2026-08-06 12:34:37,ws-12337,,172.16.237.206,,135,TCP,DENY,44010127,48244791,,False,MONITOR_DB_ACCESS,US,ws-12337,False,True,invalid,valid,valid,valid
FW000000424,2026-08-07 03:35:54,ws-12913,,170.84.241.160,,53,TCP,ALLOW,10245765,32808929,SID639238,False,ALLOW_INTERNAL_DNS,RU,ws-12913,False,True,missing,valid,valid,valid
FW000009792,2026-08-21 09:08:06,lpt-12951,192.168.188.85,192.168.110.6,80,3389,TCP,ALLOW,11743248,23239715,SID706195,False,BLOCK_EXTERNAL_RDP,,lpt-12951,True,True,valid,valid,valid,valid
FW000013186,2026-09-09 06:29:59,vdr-11265,,81.211.42.17,,25,UDP,DENY,22995574,11572573,SID707580,False,ALLOW_WEB,US,vdr-11265,False,True,invalid,valid,valid,valid
FW000017529,2026-09-04 14:48:00,lpt-11842,124.5.106.189,192.168.25.125,22,53,UDP,ALLOW,30822159,13547876,,False,UNKNOWN,,lpt-11842,True,True,valid,valid,valid,valid
FW000011267,,vdr-12095,,172.16.132.188,8443,135,TCP,ALLOW,,251658,SID890237,False,ALLOW_INTERNAL_DNS,US,vdr-12095,False,True,valid,valid,missing,valid
FW000013721,,vdr-10698.corp.local,,,443,1433,TCP,ALLOW,16148070,43448846,SID254382,False,ALLOW_WEB,IN,vdr-10698,False,False,valid,valid,valid,valid
FW000027402,,lpt-10183,172.16.47.248,,135,,TCP,ALLOW,13289567,49885990,,False,UNKNOWN,CN,lpt-10183,True,False,valid,invalid,valid,valid
FW000013210,2026-08-03 20:32:41,vdr-12218,192.168.14.27,,,135,TCP,ALLOW,39304732,,SID770400,False,UNKNOWN,CN,vdr-12218,True,False,missing,valid,valid,missing
FW000026987,2026-08-02 04:45:18,ws-12874.corp.local,89.183.221.141,176.192.189.228,443,3306,TCP,DENY,46859974,22567252,SID464275,False,,UNKNOWN,ws-12874,True,True,valid,valid,valid,valid
FW000026621,2026-08-12 19:44:31,lpt-12634.corp.local,,81.205.45.5,445,443,TCP,ALLOW,30871570,20831007,SID436969,False,,IN,lpt-12634,False,True,valid,valid,valid,valid
FW000014922,2026-08-01 03:45:00,ws-11711,172.16.196.39,72.207.246.231,22,,TCP,ALLOW,21654775,44251759,SID992364,False,ALLOW_OFFICE_APPS,IN,ws-11711,True,True,valid,missing,valid,valid
FW000006426,2026-08-15 08:13:00,vdr-10482,192.168.221.141,193.45.150.160,8443,22,TCP,ALLOW,32647570,12818871,SID282487,False,BLOCK_TOR_EXIT,,vdr-10482,True,True,valid,valid,valid,valid
