event_id,timestamp,user_id,username,department,event_type,auth_method,source_ip,ip_status,hostname,device_id,session_id,mfa_passed,failure_reason,risk_score_numeric,risk_level,geo_location
IAM00003438,2026-08-30 05:51:48,EMP10585,jagdish.reddy67,Human Resources,LOGIN_SUCCESS,PASSWORD,56.41.11.203,VALID_PUBLIC,VDR-10585,,SID194230,False,,60.0,,INDIA
IAM00000401,,EMP10340,prisha.venkataraman28,Finance,LOGIN_SUCCESS,CERTIFICATE,192.168.195.151,VALID_PRIVATE,VDR-10340,DEV67984,SID919749,True,,17.0,,
IAM00017849,,EMP12111,chatresh.krish60,Sales,LOGIN_SUCCESS,BIOMETRIC,192-168.46.189,MALFORMED,LPT-12111,DEV47712,SID736536,False,,55.0,,MAHARASHTRA
IAM00010888,2026-08-13 18:35:41,EMP10912,mohammed_devan20,Operations,LOGIN_FAILURE,SSO,172.16.186.37,VALID_PRIVATE,LPT-10912,DEV26119,SID353274,False,,77.0,,
IAM00005264,2026-08-17 18:54:33,EMP12505,radhika.bath93,Supply Chain,MFA_FAILURE,PASSWORD,30.115.22.53,VALID_PUBLIC,LPT-12505,DEV68365,SID357127,True,,72.0,,UNKNOWN
IAM00013994,2026-08-17 00:00:00,EMP12775,azad.dara84,Innovation,MFA_FAILURE,OTP,192.168.5.2,VALID_PRIVATE,VDR-12775,DEV18826,,True,UNKNOWN_USER,,HIGH,PUNJAB
IAM00011264,2026-09-01 15:43:28,EMP10446,arunima.ramaswamy21,IT,LOGIN_FAILURE,BIOMETRIC,192.168.6.22,VALID_PRIVATE,LPT-10446,DEV73001,SID850207,False,,47.0,,
IAM00019608,2026-09-07 05:49:00,EMP10746,oviya.acharya25,Human Resources,LOGIN_SUCCESS,BIOMETRIC,172.16.228.59,VALID_PRIVATE,WS-10746,DEV75210,,True,,14.0,,INDIA
IAM00004561,2026-09-03 06:24:05,EMP12550,charan.vora9,R&D,LOGIN_SUCCESS,SSO,10.165.163,MALFORMED,WS-12550,DEV50159,SID685934,True,,99.0,,DELHI
IAM00000365,2026-08-06 23:24:39,EMP12079,upasna.choudhary60,Customer Support,LOGIN_FAILURE,BIOMETRIC,10.211.152,MALFORMED,VDR-12079,DEV67458,SID961370,True,,6.0,,DELHI
IAM00000883,2026-08-31 13:23:00,EMP10554,shaurya.talwar44,Operations,LOGIN_FAILURE,SSO,15.243.10.56,VALID_PUBLIC,WS-10554,DEV37594,,True,ACCOUNT_LOCKED,50.0,,DELHI
IAM00005465,,EMP10843,amol.dayal53,Operations,LOGIN_SUCCESS,OTP,185.219.137.216,VALID_PUBLIC,VDR-10843,DEV28423,,True,,70.0,,
IAM00018271,,EMP12423,prisha.mahal39,IT,LOGIN_FAILURE,CERTIFICATE,134.222.153.,MALFORMED,VDR-12423,DEV24383,,False,BAD_TOKEN,19.0,,MAHARASHTRA
IAM00010074,2026-08-26 14:04:32,EMP12777,yamini.lal74,R&D,LOGIN_SUCCESS,MFA,999.999.999.999,MALFORMED,VDR-12777,DEV81246,SID190608,True,,100.0,,INDIA
IAM00006398,2026-08-01 05:43:00,EMP10356,samaksh.munshi71,Legal,LOGIN_SUCCESS,BIOMETRIC,96-112.162.62,MALFORMED,LPT-10356,DEV64559,,True,,,,PUNJAB
IAM00007012,2026-08-06 02:27:35,EMP12061,harish.sura83,IT,LOGIN_SUCCESS,BIOMETRIC,172.16.61.194,VALID_PRIVATE,LPT-12061,DEV17731,SID983969,True,,48.0,,PUNJAB
IAM00014128,2026-08-10 09:14:00,EMP10781,rohan.wali29,R&D,LOGIN_SUCCESS,SSO,192.168.32.10,VALID_PRIVATE,WS-10781,DEV17213,SID705402,True,,90.0,,INDIA
IAM00003459,2026-08-27 13:30:00,EMP12353,veda_sidhu82,Sales,LOGIN_SUCCESS,CERTIFICATE,,MISSING,VDR-12353,DEV50470,,False,,,,INDIA
IAM00014663,2026-08-17 10:16:23,EMP10525,sachi_sinha77,IT,LOGIN_SUCCESS,CERTIFICATE,192.168.254.61,VALID_PRIVATE,LPT-10525,DEV22214,,True,,,,INDIA
IAM00014377,2026-08-19 00:03:30,EMP12579,balveer.nair93,IT,LOGIN_SUCCESS,SSO,10.70.53.0,VALID_PRIVATE,VDR-12579,DEV22006,SID271554,True,,,HIGH,REMOTE
IAM00004374,2026-08-29 12:39:01,EMP12157,vansha.chadha57,Marketing,PRIVILEGE_ESCALATION_REQUEST,MFA,,MISSING,VDR-12157,DEV50940,,True,,9.0,,PUNJAB
IAM00015556,,EMP12197,qasim.rout20,Human Resources,LOGIN_SUCCESS,PASSWORD,172.16.250.,MALFORMED,LPT-12197,DEV61366,,False,,50.0,,REMOTE
IAM00008339,2026-08-13 14:26:18,EMP10320,hredhaan.tank29,Marketing,LOGIN_SUCCESS,BIOMETRIC,10.130.201,MALFORMED,LPT-10320,DEV80465,SID469797,True,,0.0,,INDIA
IAM00015981,,EMP11232,gaurangi.mistry16,Sales,LOGIN_FAILURE,MFA,172.16.177.36,VALID_PRIVATE,VDR-11232,DEV13019,SID232927,False,,15.0,,PUNJAB
IAM00016222,2026-08-20 22:24:00,EMP12027,bhavika.mall58,Marketing,LOGIN_SUCCESS,PASSWORD,172.16.134.,MALFORMED,LPT-12027,DEV90481,SID461004,True,,9.0,,PUNJAB
IAM00008614,2026-08-12 00:00:00,EMP11821,caleb.murty72,Marketing,PRIVILEGE_ESCALATION_REQUEST,CERTIFICATE,10.39.178,MALFORMED,VDR-11821,DEV38664,,False,,79.0,,PUNJAB
IAM00019041,,EMP12235,pahal.pingle94,People,LOGIN_FAILURE,BIOMETRIC,168.224.82.161,VALID_PUBLIC,VDR-12235,DEV77458,,False,INVALID_CREDENTIALS,46.0,,PUNJAB
IAM00016213,2026-08-28 01:49:00,EMP12767,pahal.chokshi86,Finance,LOGIN_SUCCESS,PASSWORD,197.123.103.243,VALID_PUBLIC,LPT-12767,DEV43629,SID849855,True,,92.0,,INDIA
IAM00013290,2026-08-24 03:27:56,EMP11104,jack.chacko10,Marketing,ACCOUNT_LOCK,OTP,163.78.28.61,VALID_PUBLIC,WS-11104,DEV83877,SID-473409,False,,63.0,,MAHARASHTRA
IAM00019419,,EMP11359,gaurika.patla96,Human Resources,LOGIN_FAILURE,OTP,10.155.100,MALFORMED,LPT-11359,DEV66547,,False,,82.0,,PUNJAB
IAM00005379,2026-08-05 06:46:00,EMP12418,warda.dua80,Marketing,LOGIN_FAILURE,CERTIFICATE,999.999.999.999,MALFORMED,WS-12418,DEV59411,SID843137,True,BAD_TOKEN,,,UNKNOWN
IAM00012904,2026-09-07 20:27:22,EMP11321,arin.rattan45,Legal,LOGIN_SUCCESS,CERTIFICATE,182-188.142.34,MALFORMED,LPT-11321,DEV12810,SID859629,True,,13.0,,UNKNOWN
IAM00000582,2026-08-01 09:18:26,EMP12546,reva.nayak73,IT,LOGIN_FAILURE,PASSWORD,26-100.209.109,MALFORMED,WS-12546,DEV38336,SID617454,False,WRONG_PASSWORD,,,REMOTE
IAM00019344,2026-09-09 06:57:22,EMP11846,chakrika.mohanty20,IT,LOGIN_SUCCESS,PASSWORD,172.16.175.219,VALID_PRIVATE,VDR-11846,DEV25429,SID584977,True,,81.0,,UNKNOWN
IAM00015925,,EMP12111,chatresh.krish60,Sales,LOGIN_FAILURE,BIOMETRIC,172.16.212.,MALFORMED,LPT-12111,DEV47712,,False,EXPIRED_PASSWORD,90.0,,REMOTE
IAM00006142,2026-09-05 04:05:23,EMP10251,aarini.memon10,IT,LOGIN_SUCCESS,PASSWORD,192.168.90.247,VALID_PRIVATE,VDR-10251,DEV18357,SID259499,True,,40.0,,INDIA
IAM00009370,2026-08-07 04:33:40,EMP12604,aachal.balan76,Marketing,LOGIN_SUCCESS,CERTIFICATE,192.168.192.83,VALID_PRIVATE,VDR-12604,DEV33431,SID342883,True,,,LOW,
IAM00000213,2026-08-31 20:37:04,EMP10741,libni.bhatnagar11,IT,LOGIN_SUCCESS,SSO,10.87.93,MALFORMED,LPT-10741,DEV95426,SID124331,True,,38.0,,
IAM00008999,2026-08-07 01:51:54,EMP10957,gautami.chaudhry72,Innovation,LOGIN_SUCCESS,SSO,172.16.197.158,VALID_PRIVATE,LPT-10957,DEV95078,,True,,,,INDIA
IAM00016908,2026-09-03 15:04:32,EMP10139,isaac.dugar28,Legal,SESSION_TERMINATED,CERTIFICATE,186-73.230.110,MALFORMED,WS-10139,DEV54424,,False,,10.0,,UNKNOWN
IAM00003394,,EMP10332,ijaya.palla17,Supply Chain,LOGIN_SUCCESS,BIOMETRIC,,MISSING,WS-10332,DEV99463,SID380484,True,,98.0,,
IAM00003763,2026-08-15 21:28:19,EMP12937,turvi.garg83,Procurement,LOGIN_SUCCESS,BIOMETRIC,172.16.47.181,VALID_PRIVATE,LPT-12937,DEV25279,SID486287,True,,59.0,,DELHI
IAM00016155,2026-09-01 14:38:48,EMP11444,nitesh_dugar65,People,LOGIN_SUCCESS,OTP,192.168.130.178,VALID_PRIVATE,WS-11444,DEV85692,,True,,10.0,,
IAM00011170,2026-08-12 08:49:33,EMP11942,hemangini.mand46,IT,MFA_FAILURE,OTP,999.999.999.999,MALFORMED,VDR-11942,DEV78920,,False,,33.0,,INDIA
IAM00009429,2026-09-01 12:35:04,EMP12848,mekhala.singhal56,Finance,LOGIN_FAILURE,SSO,172.16.166.,MALFORMED,WS-12848,DEV71268,SID-992324,False,OTP_EXPIRED,50.0,,
IAM00010398,2026-08-27 11:07:51,EMP12325,laban.sankar26,Human Resources,LOGIN_FAILURE,CERTIFICATE,999.999.999.999,MALFORMED,VDR-12325,DEV55332,,False,,17.0,,DELHI
IAM00007301,2026-08-22 13:45:52,EMP10496,ati.chaudhary14,Marketing,LOGIN_SUCCESS,BIOMETRIC,11.1.136.77,VALID_PUBLIC,LPT-10496,DEV46899,SID758281,False,,98.0,,UNKNOWN
IAM00016325,2026-09-05 16:05:49,EMP10746,oviya.acharya25,Human Resources,LOGIN_FAILURE,CERTIFICATE,172.16.209.153,VALID_PRIVATE,WS-10746,DEV75210,,False,EXPIRED_PASSWORD,22.0,,
IAM00000519,,EMP12913,reyansh.cheema32,Operations,LOGIN_FAILURE,OTP,999.999.999.999,MALFORMED,WS-12913,DEV52978,,True,TIMEOUT,74.0,,INDIA
IAM00001033,2026-08-01 00:00:00,EMP10968,raksha_johal11,Supply Chain,LOGIN_SUCCESS,PASSWORD,192.168.189.173,VALID_PRIVATE,LPT-10968,DEV65550,SID780067,True,,,,PUNJAB
IAM00000157,2026-08-22 00:00:00,EMP10278,david.lad68,Finance,MFA_FAILURE,BIOMETRIC,UNKNOWN,UNKNOWN,VDR-10278,DEV79003,SID373363,False,,81.0,,UNKNOWN
IAM00007419,2026-08-31 00:00:00,EMP10218,jagat_dasgupta98,Customer Support,LOGIN_FAILURE,SSO,10-142.137,MALFORMED,VDR-10218,DEV99181,SID335882,False,INVALID_CREDENTIALS,1.0,,DELHI
IAM00010497,2026-08-14 17:19:56,EMP10212,advaith_agate35,R&D,LOGIN_FAILURE,PASSWORD,56.223.243.79,VALID_PUBLIC,LPT-10212,DEV16632,SID302615,False,,80.0,,
IAM00016239,2026-08-17 11:22:25,EMP12378,rachita.narayan1,Customer Support,LOGIN_SUCCESS,SSO,192.168.165.82.0,MALFORMED,LPT-12378,DEV85191,SID455043,False,,,,INDIA
IAM00018740,2026-08-20 19:43:00,EMP12852,warinder.wali82,R&D,LOGIN_SUCCESS,PASSWORD,192.168.98.131,VALID_PRIVATE,LPT-12852,DEV27337,SID878009,True,,13.0,,UNKNOWN
IAM00002341,2026-08-31 00:00:00,EMP10187,samar.khare6,Sales,LOGIN_SUCCESS,CERTIFICATE,,MISSING,WS-10187,DEV77552,SID689073,True,,73.0,,PUNJAB
IAM00016326,2026-09-03 01:47:24,EMP10114,chatura.dube60,Marketing,LOGIN_FAILURE,BIOMETRIC,172.16.207.121,VALID_PRIVATE,LPT-10114,DEV67898,,False,BAD_TOKEN,18.0,,
IAM00011419,2026-08-18 15:53:26,EMP11644,ayushman.dara8,People,DEVICE_REGISTERED,SSO,172.16.108.117,VALID_PRIVATE,VDR-11644,DEV80028,,True,,55.0,,DELHI
IAM00010772,2026-08-30 06:15:40,EMP12844,omaja.mangat18,Sales,LOGIN_FAILURE,MFA,172.16.28.114,VALID_PRIVATE,VDR-12844,DEV19253,,False,TIMEOUT,68.0,,MAHARASHTRA
IAM00009089,2026-09-06 02:30:00,EMP12808,zinal.karnik88,Finance,LOGIN_SUCCESS,SSO,10.174.91,MALFORMED,WS-12808,DEV39607,SID473649,True,,74.0,,DELHI
IAM00009085,2026-08-17 14:22:23,EMP10115,anay.prabhu39,Sales,LOGIN_SUCCESS,CERTIFICATE,173.152.63.249,VALID_PUBLIC,WS-10115,DEV23979,,True,,81.0,,INDIA
IAM00009746,2026-08-18 15:54:29,EMP10902,meghana.wali56,IT,LOGIN_FAILURE,MFA,192.168.179.13,VALID_PRIVATE,VDR-10902,DEV35192,,False,EXPIRED_PASSWORD,78.0,,INDIA
IAM00013526,2026-08-01 16:18:13,EMP12830,jairaj.ben13,Operations,MFA_FAILURE,OTP,192.168.225.,MALFORMED,WS-12830,DEV79017,,False,INVALID_CREDENTIALS,16.0,,DELHI
IAM00015649,2026-08-05 21:50:05,EMP12975,warjas.barman48,Sales,LOGIN_FAILURE,PASSWORD,10.54.161,MALFORMED,VDR-12975,DEV64598,,False,TIMEOUT,5.0,,
IAM00004008,2026-08-05 23:51:04,EMP10746,oviya.acharya25,People,LOGIN_SUCCESS,OTP,192.168.89.16.0,MALFORMED,WS-10746,DEV75210,,True,,3.0,,UNKNOWN
IAM00002207,2026-08-25 16:13:43,EMP11042,chaman.memon27,Finance,LOGIN_SUCCESS,CERTIFICATE,10.155.142,MALFORMED,VDR-11042,DEV81938,,True,,,,DELHI
IAM00006711,2026-08-08 00:00:00,EMP12373,mitali.goel62,Operations,LOGIN_SUCCESS,MFA,211.97.202.12,VALID_PUBLIC,VDR-12373,DEV55579,SID573291,True,,84.0,,INDIA
IAM00009398,2026-08-09 20:04:00,EMP12778,ethan.babu56,Operations,PASSWORD_RESET,CERTIFICATE,,MISSING,LPT-12778,DEV97441,,True,,,MEDIUM,UNKNOWN
IAM00012268,2026-08-30 00:00:00,EMP11662,aishani.dugal36,Sales,LOGIN_SUCCESS,CERTIFICATE,172.16.201.238,VALID_PRIVATE,LPT-11662,DEV68314,SID241447,False,,99.0,,
IAM00003544,2026-09-07 06:24:42,EMP10468,inaya.vala59,Procurement,LOGIN_FAILURE,BIOMETRIC,172.16.4.22,VALID_PRIVATE,WS-10468,DEV10568,,False,UNKNOWN_USER,,MEDIUM,INDIA
IAM00016535,2026-08-10 00:49:41,EMP12418,warda_dua80,Marketing,LOGIN_FAILURE,MFA,10.164.184,MALFORMED,WS-12418,DEV59411,,False,INVALID_CREDENTIALS,30.0,,UNKNOWN
IAM00010319,2026-08-21 12:10:37,EMP11561,aradhana.sarraf50,IT,LOGIN_SUCCESS,SSO,199.167.171.168,VALID_PUBLIC,LPT-11561,DEV28737,,False,,21.0,,PUNJAB
IAM00007409,2026-09-07 12:28:35,EMP11640,meghana.chana6,Customer Support,LOGIN_SUCCESS,BIOMETRIC,192.168.115.204,VALID_PRIVATE,LPT-11640,DEV51670,SID207852,False,,12.0,,
IAM00012194,2026-08-19 03:04:30,EMP12583,pallavi.dhingra3,IT,LOGIN_FAILURE,BIOMETRIC,192.168.157.,MALFORMED,LPT-12583,DEV91232,,False,BAD_TOKEN,84.0,,
IAM00018701,2026-08-20 14:03:59,EMP12643,yash.madan58,Legal,LOGIN_SUCCESS,PASSWORD,203.3.74.182.0,MALFORMED,LPT-12643,DEV11348,,True,,20.0,,PUNJAB
IAM00013939,2026-08-08 04:41:00,EMP12304,hiral.sheth32,Marketing,MFA_FAILURE,BIOMETRIC,10.5.144,MALFORMED,LPT-12304,DEV41573,,True,ACCOUNT_LOCKED,93.0,,INDIA
IAM00008498,2026-08-18 02:33:31,EMP10956,devika.contractor43,IT,LOGIN_SUCCESS,SSO,203.59.67.100,VALID_PUBLIC,LPT-10956,DEV89794,SID188027,True,,100.0,,DELHI
IAM00010607,2026-08-04 05:36:00,EMP10126,unnati.dass69,Finance,LOGIN_SUCCESS,SSO,172.16.132.252,VALID_PRIVATE,WS-10126,DEV97881,SID283764,True,,,,REMOTE
IAM00014355,2026-08-12 00:00:00,EMP12650,hemal.sarin58,IT,LOGIN_SUCCESS,CERTIFICATE,10.167.15,MALFORMED,VDR-12650,DEV70735,SID539890,True,,63.0,,PUNJAB
IAM00000446,2026-08-10 19:30:41,EMP11358,lavanya.pillai59,IT,LOGIN_FAILURE,SSO,192.168.183.41,VALID_PRIVATE,WS-11358,DEV44521,,False,WRONG_PASSWORD,,,PUNJAB
IAM00000697,2026-08-18 14:35:52,EMP10573,alexander.bumb98,Finance,SESSION_TERMINATED,SSO,192.168.29.223,VALID_PRIVATE,WS-10573,DEV80136,,False,,71.0,,INDIA
IAM00006570,2026-08-06 00:00:00,EMP11892,sudiksha.patil75,Human Resources,LOGIN_FAILURE,PASSWORD,10.122.152,MALFORMED,VDR-11892,DEV15269,,False,UNKNOWN_USER,63.0,,PUNJAB
IAM00003891,2026-09-07 08:11:42,EMP11347,shravya.chopra88,Legal,LOGIN_SUCCESS,MFA,10.62.229,MALFORMED,WS-11347,DEV47104,,True,,,MEDIUM,INDIA
IAM00003044,2026-09-06 00:00:00,EMP12777,yamini.lal74,R&D,LOGIN_SUCCESS,SSO,202.105.20.251,VALID_PUBLIC,VDR-12777,DEV81246,,False,,70.0,,REMOTE
IAM00012467,2026-08-08 19:36:00,EMP10745,lopa.bali80,Operations,LOGIN_FAILURE,OTP,122-28.10.164,MALFORMED,LPT-10745,DEV70845,,False,INVALID_CREDENTIALS,55.0,,DELHI
IAM00016256,2026-09-09 00:00:00,EMP12418,warda.dua80,Marketing,LOGIN_SUCCESS,MFA,999.999.999.999,MALFORMED,WS-12418,DEV59411,SID781413,True,,7.0,,INDIA
IAM00019549,2026-08-19 02:22:05,EMP10565,vidhi.balan53,Finance,LOGIN_SUCCESS,SSO,192.168.171.139,VALID_PRIVATE,LPT-10565,DEV26389,SID512528,True,,66.0,,DELHI
IAM00011225,2026-08-20 03:48:05,EMP10255,jonathan.sem1,IT,LOGIN_SUCCESS,MFA,40-201.246.174,MALFORMED,VDR-10255,DEV81361,SID981443,True,,64.0,,PUNJAB
IAM00005537,2026-08-20 07:07:25,EMP12067,qarin.bhagat83,R&D,LOGIN_SUCCESS,OTP,10.129.239,MALFORMED,WS-12067,DEV38189,,False,,57.0,,PUNJAB
IAM00005730,2026-08-20 05:06:48,EMP10785,jackson.balasubramanian40,R&D,LOGIN_FAILURE,PASSWORD,192.168.247.169,VALID_PRIVATE,LPT-10785,DEV68224,,False,,68.0,,
IAM00005565,2026-08-28 19:26:00,EMP10063,ira.tara4,Human Resources,LOGIN_SUCCESS,PASSWORD,88.94.178.,MALFORMED,WS-10063,DEV33819,,False,,,,INDIA
IAM00002079,2026-08-21 18:40:45,EMP10625,dominic.loyal90,Procurement,LOGIN_SUCCESS,CERTIFICATE,172.16.115.112,VALID_PRIVATE,WS-10625,DEV95820,SID682182,False,,40.0,,DELHI
