session_id,iam_rows,firewall_rows,iam_hostnames,firewall_hostnames,common_hostname_count,iam_timestamp_count,firewall_timestamp_count,min_time_diff_seconds,median_time_diff_seconds,max_time_diff_seconds,hostname_match
SID532153,1,1,vdr-10799,,0,1,1,2503700.0,2503700.0,2503700.0,False
SID870713,1,1,ws-12674,lpt-12502,0,1,1,1094984.0,1094984.0,1094984.0,False
SID129408,1,1,ws-12175,,0,1,1,189892.0,189892.0,189892.0,False
SID717451,1,1,ws-12812,vdr-12237,0,1,1,2059124.0,2059124.0,2059124.0,False
SID271789,1,1,lpt-12268,vdr-11694,0,1,1,304535.0,304535.0,304535.0,False
SID182240,1,1,vdr-11405,lpt-11568,0,1,1,1056519.0,1056519.0,1056519.0,False
SID304621,1,1,vdr-10539,ws-10307,0,1,1,2925726.0,2925726.0,2925726.0,False
SID142568,1,1,vdr-11647,ws-11898,0,1,0,,,,False
SID937423,1,1,lpt-11732,lpt-11259,0,0,1,,,,False
SID387147,1,1,vdr-10519,ws-10187,0,1,1,228256.0,228256.0,228256.0,False
SID128650,1,1,vdr-11240,vdr-11622,0,1,1,1206488.0,1206488.0,1206488.0,False
SID318634,1,1,lpt-11060,ws-12267,0,1,1,672505.0,672505.0,672505.0,False
SID693461,1,1,vdr-12894,vdr-12313,0,1,0,,,,False
SID110156,1,1,vdr-12254,ws-10974,0,1,1,259200.0,259200.0,259200.0,False
SID251620,1,1,lpt-10094,vdr-11147,0,1,1,987276.0,987276.0,987276.0,False
SID487507,1,1,ws-12139,vdr-12278.,0,1,1,3064234.0,3064234.0,3064234.0,False
SID999105,1,1,lpt-10100,ws-11361,0,1,1,779040.0,779040.0,779040.0,False
SID744824,1,1,vdr-11602,ws-10817,0,0,1,,,,False
SID700327,1,1,ws-10781,lpt-12974,0,1,1,1930583.0,1930583.0,1930583.0,False
SID766146,1,1,ws-11948,vdr-12740,0,1,1,1801217.0,1801217.0,1801217.0,False
SID755215,1,1,,lpt-12197,0,1,1,275956.0,275956.0,275956.0,False
SID896638,1,1,ws-10746,vdr-12983,0,1,1,780337.0,780337.0,780337.0,False
SID580215,1,1,ws-11064,ws-12166,0,1,1,910919.0,910919.0,910919.0,False
SID159843,1,1,lpt-11489,ws-12545,0,1,0,,,,False
SID969821,1,1,lpt-10011,ws-10352,0,1,1,2196202.0,2196202.0,2196202.0,False
SID477680,1,1,vdr-10152,vdr-10108,0,1,1,2699331.0,2699331.0,2699331.0,False
SID597869,1,1,lpt-11357,ws-10695,0,1,1,2386088.0,2386088.0,2386088.0,False
SID495296,1,1,ws-10974,,0,0,1,,,,False
SID388932,1,2,lpt-12993,ws-10288.|ws-11464,0,1,2,198871.0,895858.5,1592846.0,False
SID404873,1,1,lpt-12965,ws-10467,0,1,1,1267089.0,1267089.0,1267089.0,False
SID423398,1,1,ws-10070,lpt-10593,0,1,1,230247.0,230247.0,230247.0,False
SID762439,1,1,vdr-10339,vdr-11071,0,1,1,2238060.0,2238060.0,2238060.0,False
SID383998,1,1,vdr-12054,lpt-11025,0,1,1,133731.0,133731.0,133731.0,False
SID706046,1,1,vdr-11861,vdr-11426,0,1,0,,,,False
SID722005,1,1,lpt-11226,vdr-11256,0,0,1,,,,False
SID233730,1,1,lpt-12540,lpt-11030,0,0,1,,,,False
SID421815,1,1,vdr-10196,lpt-12759,0,1,1,219525.0,219525.0,219525.0,False
SID529936,1,1,ws-10665,vdr-10501,0,1,0,,,,False
SID386378,1,1,vdr-11165,ws-11039,0,1,1,299609.0,299609.0,299609.0,False
SID270846,1,1,ws-11233,ws-10184.,0,1,1,429884.0,429884.0,429884.0,False
SID951699,2,1,lpt-11226|vdr-10350,ws-10913,0,2,1,111886.0,1579062.0,3046238.0,False
SID287010,1,1,ws-11513,vdr-11400,0,1,1,2764800.0,2764800.0,2764800.0,False
SID252605,1,1,,lpt-10345,0,1,1,1091808.0,1091808.0,1091808.0,False
SID412511,2,1,ws-11296|ws-11590,ws-12262,0,2,1,1051967.0,1389983.5,1728000.0,False
SID442396,1,1,lpt-11299,vdr-11061,0,1,1,1067367.0,1067367.0,1067367.0,False
SID927228,1,1,vdr-12976,vdr-11821,0,1,1,1002199.0,1002199.0,1002199.0,False
SID566415,1,1,,lpt-11040,0,1,1,998343.0,998343.0,998343.0,False
SID470408,1,1,ws-11358,ws-11084,0,1,1,1329208.0,1329208.0,1329208.0,False
SID533496,1,1,ws-11073,vdr-10907,0,1,1,600088.0,600088.0,600088.0,False
SID876853,1,1,vdr-12647,ws-11448,0,1,1,2213020.0,2213020.0,2213020.0,False
SID874053,1,1,lpt-12800,,0,1,1,21317.0,21317.0,21317.0,False
SID901240,1,1,,ws-10220,0,1,1,249716.0,249716.0,249716.0,False
SID191627,1,1,vdr-12059,vdr-11754,0,1,1,1234179.0,1234179.0,1234179.0,False
SID271756,1,1,vdr-12157,lpt-12524,0,1,1,1418218.0,1418218.0,1418218.0,False
SID701274,1,1,lpt-12402,,0,1,0,,,,False
SID813079,1,1,lpt-10748,vdr-10608,0,1,0,,,,False
SID666085,1,1,vdr-11266,ws-10958,0,1,1,54126.0,54126.0,54126.0,False
SID592540,1,1,vdr-11599,ws-11430,0,0,0,,,,False
SID785319,1,1,ws-11334,lpt-12471.,0,1,1,955897.0,955897.0,955897.0,False
SID206920,1,1,lpt-11786,vdr-10029,0,1,1,323511.0,323511.0,323511.0,False
SID443595,1,1,vdr-11247,,0,1,1,1383150.0,1383150.0,1383150.0,False
SID707470,1,1,ws-11547,vdr-10966,0,1,1,261306.0,261306.0,261306.0,False
SID171223,2,1,ws-11708|ws-12456,vdr-11205,0,2,1,6637.0,1109428.5,2212220.0,False
SID955983,1,1,ws-12220,lpt-11574,0,1,0,,,,False
SID156948,1,1,vdr-12936,,0,1,1,1362676.0,1362676.0,1362676.0,False
SID373958,1,1,lpt-10092,lpt-11837,0,1,1,1316347.0,1316347.0,1316347.0,False
SID751621,1,1,ws-10305,vdr-10053,0,1,1,1140907.0,1140907.0,1140907.0,False
SID202870,1,1,ws-12418,lpt-12689,0,1,1,294899.0,294899.0,294899.0,False
SID222118,1,1,lpt-12227,vdr-10914,0,0,0,,,,False
SID199006,1,1,vdr-11419,lpt-11115,0,1,1,2839913.0,2839913.0,2839913.0,False
SID370994,1,1,vdr-12145,lpt-11887,0,0,1,,,,False
SID905239,1,1,lpt-11789,lpt-12681,0,1,1,1302923.0,1302923.0,1302923.0,False
SID493474,1,1,lpt-12607,lpt-11561,0,1,1,1950312.0,1950312.0,1950312.0,False
SID627629,1,1,ws-10746,vdr-11773,0,1,1,1203232.0,1203232.0,1203232.0,False
SID882698,1,1,vdr-10489,ws-10683,0,1,1,1026065.0,1026065.0,1026065.0,False
SID178860,1,1,vdr-12160,ws-11332,0,1,1,845640.0,845640.0,845640.0,False
SID137615,1,1,vdr-11411,vdr-11508,0,1,1,2256625.0,2256625.0,2256625.0,False
SID809117,1,1,vdr-11090,ws-12120,0,1,1,1300161.0,1300161.0,1300161.0,False
SID825012,1,1,ws-10868,lpt-12114,0,1,0,,,,False
SID294997,1,1,vdr-11264,ws-10137,0,1,1,412583.0,412583.0,412583.0,False
SID183852,1,1,vdr-11205,ws-11865,0,1,1,1706786.0,1706786.0,1706786.0,False
SID143728,1,1,ws-12851,vdr-11980,0,1,1,1024459.0,1024459.0,1024459.0,False
SID942155,1,1,lpt-11714,vdr-11643,0,1,1,834420.0,834420.0,834420.0,False
SID511658,1,1,lpt-12323,vdr-10285.,0,1,1,533392.0,533392.0,533392.0,False
SID332491,1,1,lpt-12670,,0,1,1,1309352.0,1309352.0,1309352.0,False
SID909727,1,1,ws-11245,vdr-12312,0,1,1,632982.0,632982.0,632982.0,False
SID804618,1,1,,vdr-11225,0,1,1,1373467.0,1373467.0,1373467.0,False
SID902803,1,1,ws-12623,lpt-11368,0,0,1,,,,False
SID999203,1,1,,vdr-11877.,0,1,1,1079528.0,1079528.0,1079528.0,False
SID378297,1,1,ws-11367,ws-11393,0,1,1,226830.0,226830.0,226830.0,False
SID485159,1,1,,lpt-12006,0,1,1,3000864.0,3000864.0,3000864.0,False
SID923312,1,2,vdr-10796,vdr-12012|ws-10155,0,1,2,670061.0,962728.5,1255396.0,False
SID210463,1,1,lpt-12304,ws-11944,0,0,0,,,,False
SID186796,1,1,lpt-12920,vdr-11600,0,1,1,1372945.0,1372945.0,1372945.0,False
SID114504,1,1,ws-11896,lpt-12990,0,1,1,2567803.0,2567803.0,2567803.0,False
SID682331,1,1,vdr-11045,vdr-10856,0,1,1,1459943.0,1459943.0,1459943.0,False
SID883709,1,1,vdr-11012,,0,1,1,723507.0,723507.0,723507.0,False
SID858474,1,1,vdr-10478,lpt-10789,0,1,1,348718.0,348718.0,348718.0,False
SID788934,1,1,,vdr-10167,0,1,1,800750.0,800750.0,800750.0,False
SID101398,1,1,ws-11820,lpt-11875,0,1,1,565201.0,565201.0,565201.0,False
SID955210,1,1,vdr-11600,ws-10367.,0,1,1,1785050.0,1785050.0,1785050.0,False
SID286947,1,1,lpt-10955,lpt-11229,0,0,1,,,,False
SID587660,1,1,ws-12295,lpt-10987,0,1,1,2159740.0,2159740.0,2159740.0,False
SID587523,1,1,ws-10649,ws-11601,0,1,1,1026066.0,1026066.0,1026066.0,False
SID755852,1,1,ws-12895,ws-10509,0,1,1,248118.0,248118.0,248118.0,False
SID231099,1,1,lpt-12672,lpt-11238,0,1,1,1611390.0,1611390.0,1611390.0,False
SID511511,1,1,vdr-12254,ws-10928,0,1,1,1395143.0,1395143.0,1395143.0,False
SID269868,1,1,ws-10371,lpt-11512,0,0,1,,,,False
SID107977,1,1,vdr-10454,,0,1,1,1814400.0,1814400.0,1814400.0,False
SID566674,1,1,vdr-10296,,0,1,1,604800.0,604800.0,604800.0,False
SID969042,1,2,ws-12726,lpt-11181|lpt-12105,0,1,1,38521.0,38521.0,38521.0,False
SID812237,1,1,lpt-10742,lpt-10920,0,1,1,383855.0,383855.0,383855.0,False
SID333311,1,2,ws-12220,vdr-11632|ws-11715,0,1,2,39599.0,958044.5,1876490.0,False
SID470901,1,1,ws-11464,lpt-10321.,0,1,1,344075.0,344075.0,344075.0,False
SID115565,1,1,vdr-11330,vdr-12825,0,1,1,1960438.0,1960438.0,1960438.0,False
SID278224,1,1,vdr-10132,ws-12341,0,1,1,322970.0,322970.0,322970.0,False
SID601743,1,1,vdr-10631,vdr-10744,0,1,1,2391495.0,2391495.0,2391495.0,False
SID108513,1,1,ws-10090,vdr-10539,0,1,1,345600.0,345600.0,345600.0,False
SID512169,1,1,vdr-12896,lpt-10103,0,1,1,2965183.0,2965183.0,2965183.0,False
SID640232,1,1,ws-12418,vdr-10698,0,1,1,760453.0,760453.0,760453.0,False
SID740099,1,1,ws-11260,lpt-11661,0,1,1,426307.0,426307.0,426307.0,False
SID529608,1,1,lpt-10401,ws-10695,0,1,0,,,,False
SID113255,1,1,vdr-10835,ws-11761.,0,1,1,685431.0,685431.0,685431.0,False
SID738421,1,1,ws-10032,vdr-12017.,0,1,1,1947214.0,1947214.0,1947214.0,False
SID951918,1,1,lpt-10583,ws-11362,0,1,1,1488775.0,1488775.0,1488775.0,False
SID904099,1,1,lpt-11109,ws-10999,0,0,0,,,,False
SID568344,1,1,lpt-10912,vdr-11215,0,1,1,3093186.0,3093186.0,3093186.0,False
SID977284,1,1,vdr-10504,ws-12317,0,1,1,62029.0,62029.0,62029.0,False
SID153237,1,1,lpt-10221,lpt-10609,0,1,1,548177.0,548177.0,548177.0,False
SID288308,1,1,ws-10407,lpt-12843,0,1,1,1052716.0,1052716.0,1052716.0,False
SID949652,1,1,vdr-12455,lpt-11325,0,1,1,1078180.0,1078180.0,1078180.0,False
SID806061,1,1,vdr-12567,ws-11153,0,0,1,,,,False
SID309449,1,1,ws-10683,vdr-12712,0,1,1,142370.0,142370.0,142370.0,False
SID143971,1,1,ws-11139,lpt-11097,0,1,1,2092507.0,2092507.0,2092507.0,False
SID939731,1,1,lpt-12183,lpt-12331,0,1,0,,,,False
SID842315,1,1,lpt-11291,lpt-11146,0,1,1,277209.0,277209.0,277209.0,False
SID380280,1,1,ws-11630,ws-10448,0,1,1,660215.0,660215.0,660215.0,False
SID529840,1,1,ws-10809,lpt-11025,0,1,1,213818.0,213818.0,213818.0,False
SID870082,1,1,vdr-12379,lpt-11403,0,1,1,1020384.0,1020384.0,1020384.0,False
SID107129,1,1,ws-10413,ws-10578,0,1,1,23546.0,23546.0,23546.0,False
SID984495,1,1,ws-10236,lpt-11840,0,1,1,359793.0,359793.0,359793.0,False
SID425687,1,1,lpt-12620,vdr-12362,0,0,1,,,,False
SID221956,1,1,vdr-11817,vdr-12647,0,1,1,700012.0,700012.0,700012.0,False
SID428528,1,1,ws-12246,lpt-12629,0,1,1,1390894.0,1390894.0,1390894.0,False
SID801196,1,1,vdr-11042,vdr-12336,0,1,1,1546612.0,1546612.0,1546612.0,False
SID963164,1,1,vdr-11665,lpt-11346,0,1,1,3070637.0,3070637.0,3070637.0,False
SID476191,1,1,,vdr-10124,0,1,0,,,,False
SID954028,1,1,lpt-10985,vdr-12357,0,1,0,,,,False
SID992760,1,1,vdr-10644,vdr-11167,0,1,1,467151.0,467151.0,467151.0,False
SID774772,1,1,vdr-11327,ws-12051,0,1,1,465128.0,465128.0,465128.0,False
SID719282,1,1,lpt-10955,lpt-12147,0,1,1,1063020.0,1063020.0,1063020.0,False
SID595641,1,1,vdr-11002,vdr-11433,0,1,1,1386119.0,1386119.0,1386119.0,False
SID791037,1,2,vdr-10498,vdr-10068|ws-12794,0,1,1,1287817.0,1287817.0,1287817.0,False
SID633312,1,1,vdr-10203,lpt-10424,0,1,1,1206140.0,1206140.0,1206140.0,False
SID436575,1,1,vdr-12113,lpt-10797,0,1,0,,,,False
SID761523,1,1,vdr-12893,,0,1,1,2129291.0,2129291.0,2129291.0,False
SID711589,1,1,ws-11211,vdr-12332,0,1,1,3111295.0,3111295.0,3111295.0,False
SID171588,1,1,ws-11621,lpt-12622,0,1,1,130730.0,130730.0,130730.0,False
SID894249,1,1,vdr-11625,lpt-11680,0,1,1,141217.0,141217.0,141217.0,False
SID712995,1,1,lpt-11257,vdr-10627,0,1,1,1681828.0,1681828.0,1681828.0,False
SID881756,1,1,ws-12812,lpt-12438,0,1,1,755998.0,755998.0,755998.0,False
SID433508,1,1,ws-12320,lpt-11792,0,1,1,2248568.0,2248568.0,2248568.0,False
SID617973,1,1,vdr-10536,ws-12515,0,1,0,,,,False
SID151499,1,1,lpt-11065,,0,1,1,188029.0,188029.0,188029.0,False
SID957185,1,1,ws-10393,vdr-11916,0,0,0,,,,False
SID717694,1,1,lpt-12955,ws-11473.,0,1,1,252449.0,252449.0,252449.0,False
SID959063,1,1,ws-10319,ws-10139,0,1,1,2341450.0,2341450.0,2341450.0,False
SID799109,1,1,vdr-11298,ws-11708,0,1,1,410290.0,410290.0,410290.0,False
SID707962,1,1,vdr-11283,ws-11089,0,1,0,,,,False
SID758737,1,1,ws-12987,vdr-10825,0,1,1,325367.0,325367.0,325367.0,False
SID651850,1,1,ws-12849,lpt-10815,0,1,1,37766.0,37766.0,37766.0,False
SID866465,1,1,vdr-10595,ws-12334,0,1,1,1319000.0,1319000.0,1319000.0,False
SID442172,1,1,vdr-12814,ws-11839,0,1,0,,,,False
SID994310,1,1,vdr-11396,vdr-12465,0,1,1,1965087.0,1965087.0,1965087.0,False
SID173213,1,1,,vdr-10061,0,1,1,1017671.0,1017671.0,1017671.0,False
SID602104,1,1,ws-12511,ws-11079.,0,1,1,34256.0,34256.0,34256.0,False
SID524799,1,1,vdr-12869,vdr-12358,0,1,1,1319605.0,1319605.0,1319605.0,False
SID310858,1,1,ws-11418,lpt-11498,0,1,1,305280.0,305280.0,305280.0,False
SID810476,1,1,lpt-12438,ws-12925,0,1,0,,,,False
SID692357,1,1,ws-10263,lpt-12768,0,1,1,85182.0,85182.0,85182.0,False
SID248695,1,1,lpt-11005,,0,0,1,,,,False
SID591858,1,1,lpt-10274,lpt-12055,0,1,1,1439220.0,1439220.0,1439220.0,False
SID366037,1,1,ws-12901,ws-11098,0,1,1,1460631.0,1460631.0,1460631.0,False
SID430506,1,1,ws-11073,ws-11110,0,1,1,475518.0,475518.0,475518.0,False
SID667335,1,1,vdr-11611,vdr-11653,0,1,1,2246400.0,2246400.0,2246400.0,False
SID325009,1,1,vdr-11155,lpt-10936,0,1,1,1026687.0,1026687.0,1026687.0,False
SID128598,1,1,vdr-10603,ws-12262,0,1,1,1468800.0,1468800.0,1468800.0,False
SID542971,1,1,lpt-11685,vdr-11989,0,1,1,542605.0,542605.0,542605.0,False
SID286161,1,1,vdr-11832,lpt-11101,0,1,1,482500.0,482500.0,482500.0,False
SID384643,1,1,vdr-11136,vdr-10848,0,1,1,606285.0,606285.0,606285.0,False
SID833803,1,1,vdr-10363,ws-10973,0,1,1,2217223.0,2217223.0,2217223.0,False
SID158974,1,1,ws-11360,ws-10787,0,1,1,195935.0,195935.0,195935.0,False
SID165447,1,1,lpt-10989,ws-10526,0,1,1,1116126.0,1116126.0,1116126.0,False
SID124468,1,1,lpt-12687,ws-10695,0,1,1,1248878.0,1248878.0,1248878.0,False
SID644396,1,1,ws-10746,ws-12472,0,1,1,3133971.0,3133971.0,3133971.0,False
SID259228,1,2,ws-10586,vdr-10018|vdr-11532,0,1,1,1191986.0,1191986.0,1191986.0,False
SID356287,1,1,lpt-10160,lpt-11685,0,1,1,1762626.0,1762626.0,1762626.0,False
SID333537,1,1,vdr-11901,ws-12120,0,1,1,1004569.0,1004569.0,1004569.0,False
SID138841,1,1,lpt-11956,ws-10730,0,1,0,,,,False
SID190343,1,1,ws-12341,ws-10694,0,1,1,2438580.0,2438580.0,2438580.0,False
SID969788,1,1,ws-10263,ws-11514,0,1,1,1345562.0,1345562.0,1345562.0,False
SID509376,1,1,vdr-11318,lpt-12974,0,1,1,1472313.0,1472313.0,1472313.0,False
SID943911,1,1,lpt-11476,lpt-10653,0,1,1,977916.0,977916.0,977916.0,False
SID433434,1,1,ws-11968,vdr-12580,0,1,1,1440982.0,1440982.0,1440982.0,False
SID427872,1,1,,lpt-11614,0,1,1,1174327.0,1174327.0,1174327.0,False
SID242006,1,1,ws-12594,ws-10148,0,1,1,773340.0,773340.0,773340.0,False
SID625265,1,1,lpt-11960,vdr-10992,0,1,1,1842513.0,1842513.0,1842513.0,False
SID852349,1,1,vdr-12254,lpt-12257,0,1,1,152520.0,152520.0,152520.0,False
SID813746,1,1,ws-12028,lpt-11109,0,1,1,847258.0,847258.0,847258.0,False
SID117643,1,1,lpt-12640,ws-11876,0,1,1,2402470.0,2402470.0,2402470.0,False
SID425962,1,1,lpt-10030,lpt-12747,0,1,0,,,,False
SID509308,1,1,vdr-11232,vdr-12865,0,1,1,1798106.0,1798106.0,1798106.0,False
SID119425,1,1,ws-12546,vdr-12279.,0,1,1,1282978.0,1282978.0,1282978.0,False
SID761116,1,1,ws-10145,vdr-11344,0,1,1,2306927.0,2306927.0,2306927.0,False
SID401002,1,1,ws-12901,vdr-11600,0,1,1,1580913.0,1580913.0,1580913.0,False
SID763649,1,1,lpt-12967,vdr-10780,0,1,1,1018482.0,1018482.0,1018482.0,False
SID558784,1,1,ws-12393,ws-12952.,0,1,1,1348537.0,1348537.0,1348537.0,False
SID678790,1,1,lpt-11226,lpt-10437.,0,1,0,,,,False
SID153509,1,1,lpt-10360,lpt-11710.,0,1,0,,,,False
SID980778,1,1,vdr-11298,lpt-12147,0,1,1,1525510.0,1525510.0,1525510.0,False
SID993125,1,1,ws-10063,lpt-12015,0,1,1,145979.0,145979.0,145979.0,False
SID142604,1,1,vdr-11038,lpt-11552,0,1,1,1581480.0,1581480.0,1581480.0,False
SID551192,1,1,vdr-10605,vdr-10077,0,1,1,57099.0,57099.0,57099.0,False
SID549263,1,1,lpt-12285,vdr-10744,0,1,1,283020.0,283020.0,283020.0,False
SID289924,1,1,lpt-12884,vdr-12216,0,1,1,2571480.0,2571480.0,2571480.0,False
SID420926,1,1,ws-12072,vdr-11199,0,1,1,56011.0,56011.0,56011.0,False
SID735225,1,1,ws-11391,vdr-12121,0,1,1,1557324.0,1557324.0,1557324.0,False
SID249196,1,1,vdr-11227,vdr-10296,0,1,1,2225432.0,2225432.0,2225432.0,False
SID965877,1,1,lpt-12502,vdr-12040.,0,1,1,540576.0,540576.0,540576.0,False
SID267900,1,1,lpt-11763,lpt-11086,0,1,1,2036658.0,2036658.0,2036658.0,False
SID656415,1,1,,lpt-12326.,0,1,1,318542.0,318542.0,318542.0,False
SID468811,1,1,lpt-10041,lpt-12721,0,1,1,2122920.0,2122920.0,2122920.0,False
SID200141,1,1,ws-12117,vdr-12415,0,1,1,363245.0,363245.0,363245.0,False
SID445061,1,1,lpt-11574,ws-11000,0,1,1,359177.0,359177.0,359177.0,False
SID111742,1,1,vdr-10664,vdr-12797,0,1,1,1440480.0,1440480.0,1440480.0,False
SID467496,1,1,vdr-10900,vdr-11385,0,0,1,,,,False
SID231593,1,1,vdr-11206,ws-10219,0,1,1,69059.0,69059.0,69059.0,False
SID280671,1,1,lpt-12946,,0,1,1,500929.0,500929.0,500929.0,False
SID770400,1,1,vdr-12042,vdr-12218,0,1,1,271962.0,271962.0,271962.0,False
SID416322,1,1,lpt-11304,ws-11582,0,1,1,763765.0,763765.0,763765.0,False
SID413380,1,1,vdr-11500,vdr-12489,0,1,1,2294985.0,2294985.0,2294985.0,False
SID878184,1,1,vdr-12487,ws-12605,0,0,1,,,,False
SID509189,1,1,ws-12214,lpt-10551,0,0,1,,,,False
SID416169,1,1,vdr-10233,,0,1,1,1263952.0,1263952.0,1263952.0,False
SID795738,1,1,lpt-11740,vdr-10648,0,1,1,363900.0,363900.0,363900.0,False
SID591756,1,1,vdr-10648,,0,1,1,958001.0,958001.0,958001.0,False
SID279888,1,1,ws-12050,lpt-11501,0,1,1,2906866.0,2906866.0,2906866.0,False
SID808720,1,1,vdr-12749,,0,1,1,1180373.0,1180373.0,1180373.0,False
SID545780,1,1,lpt-11005,lpt-12611,0,1,1,350125.0,350125.0,350125.0,False
SID935485,1,1,ws-12828,lpt-12993,0,1,0,,,,False
SID747573,1,1,vdr-12436,vdr-10595,0,1,1,2308799.0,2308799.0,2308799.0,False
SID673890,1,1,lpt-11561,lpt-10006,0,1,1,1141769.0,1141769.0,1141769.0,False
SID317503,1,1,ws-12548,,0,1,1,2402226.0,2402226.0,2402226.0,False
SID486699,1,1,vdr-11874,ws-12176,0,1,1,1382400.0,1382400.0,1382400.0,False
SID356492,1,1,ws-12977,vdr-10282,0,1,1,523190.0,523190.0,523190.0,False
SID798067,1,1,lpt-12521,ws-11296,0,0,1,,,,False
SID518097,1,1,lpt-12259,ws-12117,0,1,1,2175683.0,2175683.0,2175683.0,False
SID397837,1,1,lpt-10590,ws-10996,0,1,1,2723869.0,2723869.0,2723869.0,False
SID600546,1,1,vdr-11068,ws-10128.,0,1,1,1164996.0,1164996.0,1164996.0,False
SID104032,1,1,vdr-12113,,0,1,1,543768.0,543768.0,543768.0,False
SID249736,1,1,ws-12496,vdr-12238,0,1,1,1740174.0,1740174.0,1740174.0,False
SID832962,1,1,ws-11245,ws-12192.,0,1,1,1121044.0,1121044.0,1121044.0,False
SID658949,1,1,ws-11132,lpt-12144,0,1,0,,,,False
SID296743,1,1,lpt-12083,lpt-12294,0,1,1,283897.0,283897.0,283897.0,False
SID255577,1,1,vdr-12897,ws-12751,0,0,1,,,,False
SID354809,1,1,vdr-10203,ws-10307,0,1,1,1346688.0,1346688.0,1346688.0,False
SID452424,1,1,vdr-12738,lpt-10377,0,1,1,1875080.0,1875080.0,1875080.0,False
SID451761,1,1,ws-11706,lpt-10679,0,1,1,1136849.0,1136849.0,1136849.0,False
SID359337,1,1,vdr-12279,lpt-10262,0,1,1,1860350.0,1860350.0,1860350.0,False
