session_id,iam_rows,firewall_rows,hostname_overlap,timestamp_evidence,min_time_difference_seconds,within_60_minutes
SID692357,1,1,False,True,85182.0,False
SID999203,1,1,False,True,1079528.0,False
SID799109,1,1,False,True,410290.0,False
SID713772,1,1,False,True,2637315.0,False
SID512169,1,1,False,True,2965183.0,False
SID558784,1,1,False,True,1348537.0,False
SID640232,1,1,False,True,760453.0,False
SID251620,1,1,False,True,987276.0,False
SID587523,1,1,False,True,1026066.0,False
SID310858,1,1,False,True,305280.0,False
SID267900,1,1,False,True,2036658.0,False
SID678790,1,1,False,False,,False
SID111742,1,1,False,True,1440480.0,False
SID356492,1,1,False,True,523190.0,False
SID129408,1,1,False,True,189892.0,False
SID633312,1,1,False,True,1206140.0,False
SID858474,1,1,False,True,348718.0,False
SID221956,1,1,False,True,700012.0,False
SID332491,1,1,False,True,1309352.0,False
SID359337,1,1,False,True,1860350.0,False
SID115565,1,1,False,True,1960438.0,False
SID113255,1,1,False,True,685431.0,False
SID693461,1,1,False,False,,False
SID763649,1,1,False,True,1018482.0,False
SID717694,1,1,False,True,252449.0,False
SID645459,1,1,False,True,1888017.0,False
SID707962,1,1,False,False,,False
SID808720,1,1,False,True,1180373.0,False
SID529936,1,1,False,False,,False
SID673890,1,1,False,True,1141769.0,False
SID301229,1,1,False,True,604800.0,False
SID430506,1,1,False,True,475518.0,False
SID602104,1,1,False,True,34256.0,False
SID862541,1,1,False,True,1906116.0,False
SID566415,1,1,False,True,998343.0,False
SID955210,1,1,False,True,1785050.0,False
SID524799,1,1,False,True,1319605.0,False
SID992760,1,1,False,True,467151.0,False
SID809117,1,1,False,True,1300161.0,False
SID421815,1,1,False,True,219525.0,False
SID852349,1,1,False,True,152520.0,False
SID425962,1,1,False,False,,False
SID153237,1,1,False,True,548177.0,False
SID761116,1,1,False,True,2306927.0,False
SID436575,1,1,False,False,,False
SID433434,1,1,False,True,1440982.0,False
SID751621,1,1,False,True,1140907.0,False
SID231593,1,1,False,True,69059.0,False
SID467496,1,1,False,False,,False
SID412511,2,1,False,True,1051967.0,False
SID200141,1,1,False,True,363245.0,False
SID420926,1,1,False,True,56011.0,False
SID617973,1,1,False,False,,False
SID173213,1,1,False,True,1017671.0,False
SID286947,1,1,False,False,,False
SID509376,1,1,False,True,1472313.0,False
SID378297,1,1,False,True,226830.0,False
SID881756,1,1,False,True,755998.0,False
SID706046,1,1,False,False,,False
SID356287,1,1,False,True,1762626.0,False
SID781442,1,1,False,True,74108.0,False
SID495296,1,1,False,False,,False
SID210463,1,1,False,False,,False
SID597869,1,1,False,True,2386088.0,False
SID949652,1,1,False,True,1078180.0,False
SID423398,1,1,False,True,230247.0,False
SID755852,1,1,False,True,248118.0,False
SID806061,1,1,False,False,,False
SID190343,1,1,False,True,2438580.0,False
SID208942,1,1,False,False,,False
SID566674,1,1,False,True,604800.0,False
SID248695,1,1,False,False,,False
SID425687,1,1,False,False,,False
SID999105,1,1,False,True,779040.0,False
SID762439,1,1,False,True,2238060.0,False
SID443595,1,1,False,True,1383150.0,False
SID545780,1,1,False,True,350125.0,False
SID354809,1,1,False,True,1346688.0,False
SID601743,1,1,False,True,2391495.0,False
SID511511,1,1,False,True,1395143.0,False
SID470901,1,1,False,True,344075.0,False
SID825012,1,1,False,False,,False
SID707470,1,1,False,True,261306.0,False
SID242006,1,1,False,True,773340.0,False
SID401002,1,1,False,True,1580913.0,False
SID587660,1,1,False,True,2159740.0,False
SID233730,1,1,False,False,,False
SID509189,1,1,False,False,,False
SID735225,1,1,False,True,1557324.0,False
SID107129,1,1,False,True,23546.0,False
SID509308,1,1,False,True,1798106.0,False
SID284265,1,1,False,False,,False
SID955983,1,1,False,False,,False
SID171223,2,1,False,True,6637.0,False
SID288308,1,1,False,True,1052716.0,False
SID923025,1,1,False,True,1499508.0,False
SID959063,1,1,False,True,2341450.0,False
SID935485,1,1,False,False,,False
SID755215,1,1,False,True,275956.0,False
SID993125,1,1,False,True,145979.0,False
SID271789,1,1,False,True,304535.0,False
SID551192,1,1,False,True,57099.0,False
SID151499,1,1,False,True,188029.0,False
SID249736,1,1,False,True,1740174.0,False
SID171588,1,1,False,True,130730.0,False
SID733345,1,1,False,True,2505600.0,False
SID542971,1,1,False,True,542605.0,False
SID158974,1,1,False,True,195935.0,False
SID738421,1,1,False,True,1947214.0,False
SID804618,1,1,False,True,1373467.0,False
SID255577,1,1,False,False,,False
SID866465,1,1,False,True,1319000.0,False
SID384643,1,1,False,True,606285.0,False
SID178860,1,1,False,True,845640.0,False
SID242146,1,1,False,False,,False
SID138841,1,1,False,False,,False
SID969042,1,2,False,True,38521.0,False
SID832962,1,1,False,True,1121044.0,False
SID485159,1,1,False,True,3000864.0,False
SID785319,1,1,False,True,955897.0,False
SID452424,1,1,False,True,1875080.0,False
SID271756,1,1,False,True,1418218.0,False
SID487507,1,1,False,True,3064234.0,False
SID222118,1,1,False,False,,False
SID644396,1,1,False,True,3133971.0,False
SID270846,1,1,False,True,429884.0,False
SID442396,1,1,False,True,1067367.0,False
SID531363,1,1,False,True,1488390.0,False
SID445061,1,1,False,True,359177.0,False
SID333311,1,2,False,True,39599.0,False
SID522169,1,1,False,True,976141.0,False
